day,mb
2009-01-17,0.0002158532
2009-01-18,0.0002199439
2009-01-19,0.0002328957
2009-01-20,0.0002247281
2009-01-21,0.0002304563
2009-01-22,0.0002157333
2009-01-23,0.0002292381
2009-01-24,0.0002220597
2009-01-25,0.0002170000
2009-01-26,0.0002399479
2009-01-27,0.0002203093
2009-01-28,0.0002156518
2009-01-29,0.0002272562
2009-01-30,0.0002158718
2009-01-31,0.0002324638
2009-02-01,0.0002182035
2009-02-02,0.0002170938
2009-02-03,0.0002484964
2009-02-04,0.0002157395
2009-02-05,0.0002157222
2009-02-06,0.0002158361
2009-02-07,0.0002403101
2009-02-08,0.0002175758
2009-02-09,0.0002536045
2009-02-10,0.0002156667
2009-02-11,0.0002291278
2009-02-12,0.0002158739
2009-02-13,0.0002159032
2009-02-14,0.0002157868
2009-02-15,0.0002293828
2009-02-16,0.0002441721
2009-02-17,0.0002158974
2009-02-18,0.0002159407
2009-02-19,0.0002310484
2009-02-20,0.0002158525
2009-02-21,0.0002159649
2009-02-22,0.0002285455
2009-02-23,0.0002159907
2009-02-24,0.0002159340
2009-02-25,0.0002158667
2009-02-26,0.0002159626
2009-02-27,0.0002518000
2009-02-28,0.0002245253
2009-03-01,0.0002159524
2009-03-02,0.0002159630
2009-03-03,0.0002254286
2009-03-04,0.0002447115
2009-03-05,0.0002244107
2009-03-06,0.0002159231
2009-03-07,0.0002159725
2009-03-08,0.0002435913
2009-03-09,0.0002157130
2009-03-10,0.0002159720
2009-03-11,0.0002158860
2009-03-12,0.0002195339
2009-03-13,0.0002293894
2009-03-14,0.0002157909
2009-03-15,0.0002159675
2009-03-16,0.0002615124
2009-03-17,0.0002159649
2009-03-18,0.0002307105
2009-03-19,0.0002157869
2009-03-20,0.0002278559
2009-03-21,0.0002158627
2009-03-22,0.0002272288
2009-03-23,0.0002159231
2009-03-24,0.0002159810
2009-03-25,0.0002157863
2009-03-26,0.0002436068
2009-03-27,0.0002159528
2009-03-28,0.0002362353
2009-03-29,0.0002159655
2009-03-30,0.0002158500
2009-03-31,0.0002495182
2009-04-01,0.0002158596
2009-04-02,0.0002158870
2009-04-03,0.0002159483
2009-04-04,0.0002157434
2009-04-05,0.0002315538
2009-04-06,0.0002159817
2009-04-07,0.0002159900
2009-04-08,0.0002160000
2009-04-09,0.0002157374
2009-04-10,0.0002159444
2009-04-11,0.0002233333
2009-04-12,0.0002247119
2009-04-13,0.0002179652
2009-04-14,0.0002159516
2009-04-15,0.0002157434
2009-04-16,0.0002158943
2009-04-17,0.0002158571
2009-04-18,0.0002220397
2009-04-19,0.0002240000
2009-04-20,0.0003270336
2009-04-21,0.0002177398
2009-04-22,0.0002159669
2009-04-23,0.0002156800
2009-04-24,0.0002159043
2009-04-25,0.0002158644
2009-04-26,0.0002320536
2009-04-27,0.0002158942
2009-04-28,0.0002156325
2009-04-29,0.0002340938
2009-04-30,0.0002159542
2009-05-01,0.0002158760
2009-05-02,0.0002313730
2009-05-03,0.0002237264
2009-05-04,0.0002429297
2009-05-05,0.0002246667
2009-05-06,0.0002159778
2009-05-07,0.0002160000
2009-05-08,0.0002159352
2009-05-09,0.0002154935
2009-05-10,0.0002157529
2009-05-11,0.0002188583
2009-05-12,0.0002159231
2009-05-13,0.0002257748
2009-05-14,0.0002210863
2009-05-15,0.0002246029
2009-05-16,0.0002159496
2009-05-17,0.0002159606
2009-05-18,0.0002159237
