day,wbtc
2019-01-31,72.4214800000
2019-02-01,72.4214800000
2019-02-02,72.4214800000
2019-02-03,72.4214800000
2019-02-04,72.4214800000
2019-02-05,72.4214800000
2019-02-06,72.4214800000
2019-02-07,72.4214800000
2019-02-08,72.4214800000
2019-02-09,72.4214800000
2019-02-10,72.4214800000
2019-02-11,72.4214800000
2019-02-12,72.4214800000
2019-02-13,72.4214800000
2019-02-14,72.4214800000
2019-02-15,72.4214800000
2019-02-16,72.4214800000
2019-02-17,72.4214800000
2019-02-18,72.4214800000
2019-02-19,72.4214800000
2019-02-20,79.4214800000
2019-02-21,79.4214800000
2019-02-22,79.4214800000
2019-02-23,79.4214800000
2019-02-24,79.4214800000
2019-02-25,79.4214800000
2019-02-26,79.4214800000
2019-02-27,79.4214800000
2019-02-28,79.4214800000
2019-03-01,79.4214800000
2019-03-02,79.4214800000
2019-03-03,79.4214800000
2019-03-04,79.4214800000
2019-03-05,73.4214800000
2019-03-06,73.4214800000
2019-03-07,73.4214800000
2019-03-08,73.4214800000
2019-03-09,73.4214800000
2019-03-10,73.4214800000
2019-03-11,73.4214800000
2019-03-12,73.4214800000
2019-03-13,73.4214800000
2019-03-14,73.4214800000
2019-03-15,73.4214800000
2019-03-16,73.4214800000
2019-03-17,73.4214800000
2019-03-18,73.4214800000
2019-03-19,73.4214800000
2019-03-20,73.4214800000
2019-03-21,73.4214800000
2019-03-22,73.4214800000
2019-03-23,73.4214800000
2019-03-24,73.4214800000
2019-03-25,73.4214800000
2019-03-26,73.4214800000
2019-03-27,73.4214800000
2019-03-28,73.4214800000
2019-03-29,81.4214800000
2019-03-30,81.4214800000
2019-03-31,81.4214800000
2019-04-01,81.4214800000
2019-04-02,88.4214800000
2019-04-03,82.4214800000
2019-04-04,89.9214800000
2019-04-05,93.8714800000
2019-04-06,93.8714800000
2019-04-07,93.8714800000
2019-04-08,93.8714800000
2019-04-09,143.8714800000
2019-04-10,143.8714800000
2019-04-11,143.8714800000
2019-04-12,150.8714800000
2019-04-13,150.8714800000
2019-04-14,150.8714800000
2019-04-15,150.8714800000
2019-04-16,150.8714800000
2019-04-17,150.8714800000
2019-04-18,150.8714800000
2019-04-19,150.8714800000
2019-04-20,150.8714800000
2019-04-21,150.8714800000
2019-04-22,155.6573900000
2019-04-23,155.6573900000
2019-04-24,155.6573900000
2019-04-25,155.6573900000
2019-04-26,155.6573900000
2019-04-27,155.6573900000
2019-04-28,155.6573900000
2019-04-29,150.6573900000
2019-04-30,150.6573900000
2019-05-01,150.6573900000
2019-05-02,150.6573900000
2019-05-03,150.6573900000
2019-05-04,150.6573900000
2019-05-05,195.6573900000
2019-05-06,195.6573900000
2019-05-07,201.9073900000
2019-05-08,201.9073900000
2019-05-09,201.9073900000
2019-05-10,201.9073900000
2019-05-11,219.8073900000
2019-05-12,219.8073900000
2019-05-13,219.8073900000
2019-05-14,219.8073900000
2019-05-15,219.8073900000
2019-05-16,219.8073900000
2019-05-17,213.8073900000
2019-05-18,213.8073900000
2019-05-19,213.8073900000
2019-05-20,213.8073900000
2019-05-21,258.8073900000
2019-05-22,258.8073900000
2019-05-23,258.8073900000
2019-05-24,258.8073900000
2019-05-25,258.8073900000
2019-05-26,258.8073900000
2019-05-27,258.8073900000
2019-05-28,258.8073900000
2019-05-29,258.8073900000
2019-05-30,258.8073900000
2019-05-31,258.8073900000
2019-06-01,258.8073900000
2019-06-02,258.8073900000
2019-06-03,258.8073900000
2019-06-04,258.8073900000
2019-06-05,258.8073900000
2019-06-06,258.8073900000
2019-06-07,258.8073900000
2019-06-08,258.8073900000
2019-06-09,258.8073900000
2019-06-10,258.8073900000
2019-06-11,258.8073900000
2019-06-12,258.8073900000
2019-06-13,258.8073900000
2019-06-14,258.8073900000
2019-06-15,258.8073900000
2019-06-16,258.8073900000
2019-06-17,318.8073900000
2019-06-18,318.8073900000
2019-06-19,318.8073900000
2019-06-20,318.8073900000
2019-06-21,318.8073900000
2019-06-22,318.8073900000
2019-06-23,318.8073900000
2019-06-24,318.8073900000
2019-06-25,318.8073900000
2019-06-26,318.8073900000
2019-06-27,318.9081900000
2019-06-28,323.8073900000
2019-06-29,323.8073900000
2019-06-30,323.8073900000
2019-07-01,323.8073900000
2019-07-02,323.8073900000
2019-07-03,528.5912400000
2019-07-04,528.5904400000
2019-07-05,539.5884400000
2019-07-06,539.5884400000
2019-07-07,539.5884400000
2019-07-08,539.5884400000
2019-07-09,539.5884400000
2019-07-10,549.5684400000
2019-07-11,558.7310800000
2019-07-12,558.7310800000
2019-07-13,558.7310800000
2019-07-14,558.7310800000
2019-07-15,558.7310800000
2019-07-16,558.7310800000
2019-07-17,558.7310800000
2019-07-18,558.7310800000
2019-07-19,558.7310800000
2019-07-20,558.7310800000
2019-07-21,558.7310800000
2019-07-22,558.7310800000
2019-07-23,558.7310800000
2019-07-24,558.7310800000
2019-07-25,558.7310800000
2019-07-26,558.7310800000
2019-07-27,558.7310800000
2019-07-28,558.7310800000
2019-07-29,558.7310800000
2019-07-30,558.7310800000
2019-07-31,558.7310800000
2019-08-01,558.7310800000
2019-08-02,558.7310800000
2019-08-03,563.2220800000
2019-08-04,563.2220800000
2019-08-05,563.2220800000
2019-08-06,563.2220800000
2019-08-07,563.2220800000
2019-08-08,563.2220800000
2019-08-09,563.2220800000
2019-08-10,563.2220800000
2019-08-11,563.2220800000
2019-08-12,563.2220800000
2019-08-13,563.2220800000
2019-08-14,563.2220800000
2019-08-15,563.2220800000
2019-08-16,563.2220800000
2019-08-17,563.2230700000
2019-08-18,563.2230700000
2019-08-19,563.2230700000
2019-08-20,563.2230700000
2019-08-21,563.2230700000
2019-08-22,563.2230700000
2019-08-23,563.2230700000
2019-08-24,563.2230700000
2019-08-25,563.2230700000
2019-08-26,563.2230700000
2019-08-27,569.2110700000
2019-08-28,569.2110700000
2019-08-29,569.2110700000
2019-08-30,569.2110700000
2019-08-31,569.2110700000
2019-09-01,569.2110700000
2019-09-02,569.2110700000
2019-09-03,569.2110700000
2019-09-04,569.2110700000
2019-09-05,569.2110700000
2019-09-06,569.2110700000
2019-09-07,569.2110700000
2019-09-08,569.2110700000
2019-09-09,569.2110700000
2019-09-10,569.2110700000
2019-09-11,569.2110700000
2019-09-12,569.2110700000
2019-09-13,569.2110700000
2019-09-14,569.2110700000
2019-09-15,569.2110700000
2019-09-16,569.2110700000
2019-09-17,569.2110700000
2019-09-18,569.2110700000
2019-09-19,569.2110700000
2019-09-20,569.2110700000
2019-09-21,569.2110700000
2019-09-22,569.2110700000
2019-09-23,569.2110700000
2019-09-24,569.2110700000
2019-09-25,569.2110700000
2019-09-26,569.2110700000
2019-09-27,569.2110700000
2019-09-28,569.2110700000
2019-09-29,569.2110700000
2019-09-30,569.2110700000
2019-10-01,576.1970700000
2019-10-02,576.1970700000
2019-10-03,571.1970700000
2019-10-04,571.1970700000
2019-10-05,571.1970700000
2019-10-06,571.1970700000
2019-10-07,571.1970700000
2019-10-08,571.1970700000
2019-10-09,571.1970700000
2019-10-10,571.1970700000
2019-10-11,571.1970700000
2019-10-12,571.1970700000
2019-10-13,571.1970700000
2019-10-14,571.1970700000
2019-10-15,571.1970700000
2019-10-16,571.1970700000
2019-10-17,571.1970700000
2019-10-18,571.1970700000
2019-10-19,571.1970700000
2019-10-20,571.1970700000
2019-10-21,571.1970700000
2019-10-22,571.1970700000
2019-10-23,571.1970700000
2019-10-24,571.1970700000
2019-10-25,571.1970700000
2019-10-26,571.1970700000
2019-10-27,571.1970700000
2019-10-28,571.1970700000
2019-10-29,571.1970700000
2019-10-30,571.1970700000
2019-10-31,571.2070500000
2019-11-01,571.2070500000
2019-11-02,571.2070500000
2019-11-03,571.2070500000
2019-11-04,571.2070500000
2019-11-05,571.2083500000
2019-11-06,571.2083500000
2019-11-07,576.2477500000
2019-11-08,576.2477500000
2019-11-09,576.2477500000
2019-11-10,576.2477500000
2019-11-11,576.2477500000
2019-11-12,576.2477500000
2019-11-13,576.2477500000
2019-11-14,576.2477500000
2019-11-15,584.2918600000
2019-11-16,584.2918600000
2019-11-17,584.2918600000
2019-11-18,584.2918600000
2019-11-19,584.2918600000
2019-11-20,584.2918600000
2019-11-21,584.2918600000
2019-11-22,584.2918600000
2019-11-23,589.2813600000
2019-11-24,589.2813600000
2019-11-25,589.2813600000
2019-11-26,589.2813600000
2019-11-27,589.2813600000
2019-11-28,589.2813600000
2019-11-29,589.2813600000
2019-11-30,589.2813600000
2019-12-01,589.2813600000
2019-12-02,589.2813600000
2019-12-03,589.2813600000
2019-12-04,589.2813600000
2019-12-05,589.2813600000
2019-12-06,589.2813600000
2019-12-07,589.2813600000
2019-12-08,589.2813600000
2019-12-09,589.2813600000
2019-12-10,589.2813600000
2019-12-11,589.2813600000
2019-12-12,589.2813600000
2019-12-13,589.2813600000
2019-12-14,589.2813600000
2019-12-15,589.2813600000
2019-12-16,589.2813600000
2019-12-17,589.2813600000
2019-12-18,589.2813600000
2019-12-19,589.2813600000
2019-12-20,589.2813600000
2019-12-21,589.2813600000
2019-12-22,589.2813600000
2019-12-23,589.2813600000
2019-12-24,589.2813600000
2019-12-25,589.2813600000
2019-12-26,589.2813600000
2019-12-27,589.2813600000
2019-12-28,589.2813600000
2019-12-29,589.2813600000
2019-12-30,589.2813600000
2019-12-31,589.2813600000
2020-01-01,589.2813600000
2020-01-02,589.2813600000
2020-01-03,589.2813600000
2020-01-04,589.2813600000
2020-01-05,589.2813600000
2020-01-06,589.2813600000
2020-01-07,590.2713600000
2020-01-08,591.2693600000
2020-01-09,591.2693600000
2020-01-10,591.2693600000
2020-01-11,596.2593600000
2020-01-12,596.2593600000
2020-01-13,596.2593600000
2020-01-14,601.2493600000
2020-01-15,601.2493600000
2020-01-16,602.2473600000
2020-01-17,602.2473600000
2020-01-18,602.2473600000
2020-01-19,602.2473600000
2020-01-20,602.2473600000
2020-01-21,602.2493600000
2020-01-22,623.6194800000
2020-01-23,623.6194800000
2020-01-24,623.6194800000
