day,users
2011-11-29,2.0000000000
2011-11-30,8.0000000000
2011-12-01,13.0000000000
2011-12-02,22.0000000000
2011-12-03,23.0000000000
2011-12-04,28.0000000000
2011-12-05,28.0000000000
2011-12-06,38.0000000000
2011-12-07,58.0000000000
2011-12-08,60.0000000000
2011-12-09,80.0000000000
2011-12-10,95.0000000000
2011-12-11,112.0000000000
2011-12-12,118.0000000000
2011-12-13,127.0000000000
2011-12-14,153.0000000000
2011-12-15,185.0000000000
2011-12-16,205.0000000000
2011-12-17,213.0000000000
2011-12-18,222.0000000000
2011-12-19,229.0000000000
2011-12-20,242.0000000000
2011-12-21,265.0000000000
2011-12-22,291.0000000000
2011-12-23,318.0000000000
2011-12-24,329.0000000000
2011-12-25,337.0000000000
2011-12-26,352.0000000000
2011-12-27,369.0000000000
2011-12-28,382.0000000000
2011-12-29,400.0000000000
2011-12-30,406.0000000000
2011-12-31,406.0000000000
2012-01-01,412.0000000000
2012-01-02,420.0000000000
2012-01-03,431.0000000000
2012-01-04,451.0000000000
2012-01-05,483.0000000000
2012-01-06,497.0000000000
2012-01-07,517.0000000000
2012-01-08,556.0000000000
2012-01-09,603.0000000000
2012-01-10,635.0000000000
2012-01-11,672.0000000000
2012-01-12,710.0000000000
2012-01-13,740.0000000000
2012-01-14,758.0000000000
2012-01-15,785.0000000000
2012-01-16,836.0000000000
2012-01-17,884.0000000000
2012-01-18,926.0000000000
2012-01-19,962.0000000000
2012-01-20,991.0000000000
2012-01-21,1029.0000000000
2012-01-22,1071.0000000000
2012-01-23,1111.0000000000
2012-01-24,1163.0000000000
2012-01-25,1169.0000000000
2012-01-26,1184.0000000000
2012-01-27,1217.0000000000
2012-01-28,1242.0000000000
2012-01-29,1268.0000000000
2012-01-30,1294.0000000000
2012-01-31,1329.0000000000
2012-02-01,1364.0000000000
2012-02-02,1392.0000000000
2012-02-03,1425.0000000000
2012-02-04,1463.0000000000
2012-02-05,1514.0000000000
2012-02-06,1551.0000000000
2012-02-07,1587.0000000000
2012-02-08,1626.0000000000
2012-02-09,1666.0000000000
2012-02-10,1713.0000000000
2012-02-11,1745.0000000000
2012-02-12,1772.0000000000
2012-02-13,1815.0000000000
2012-02-14,1845.0000000000
2012-02-15,1861.0000000000
2012-02-16,1894.0000000000
2012-02-17,1943.0000000000
2012-02-18,1967.0000000000
2012-02-19,2003.0000000000
2012-02-20,2043.0000000000
2012-02-21,2078.0000000000
2012-02-22,2108.0000000000
2012-02-23,2139.0000000000
2012-02-24,2159.0000000000
2012-02-25,2159.0000000000
2012-02-26,2170.0000000000
2012-02-27,2213.0000000000
2012-02-28,2253.0000000000
2012-02-29,2282.0000000000
2012-03-01,2314.0000000000
2012-03-02,2356.0000000000
2012-03-03,2409.0000000000
2012-03-04,2435.0000000000
2012-03-05,2480.0000000000
2012-03-06,2537.0000000000
2012-03-07,2567.0000000000
2012-03-08,2614.0000000000
2012-03-09,2665.0000000000
2012-03-10,2692.0000000000
2012-03-11,2728.0000000000
2012-03-12,2758.0000000000
2012-03-13,2794.0000000000
2012-03-14,2825.0000000000
2012-03-15,2861.0000000000
2012-03-16,2893.0000000000
2012-03-17,2935.0000000000
2012-03-18,2968.0000000000
2012-03-19,2997.0000000000
2012-03-20,3041.0000000000
2012-03-21,3076.0000000000
2012-03-22,3117.0000000000
2012-03-23,3148.0000000000
2012-03-24,3186.0000000000
2012-03-25,3219.0000000000
2012-03-26,3257.0000000000
2012-03-27,3329.0000000000
2012-03-28,3415.0000000000
2012-03-29,3493.0000000000
2012-03-30,3558.0000000000
2012-03-31,3590.0000000000
2012-04-01,3636.0000000000
2012-04-02,3708.0000000000
2012-04-03,3772.0000000000
2012-04-04,3815.0000000000
2012-04-05,3872.0000000000
2012-04-06,3967.0000000000
2012-04-07,4039.0000000000
2012-04-08,4113.0000000000
2012-04-09,4168.0000000000
2012-04-10,4234.0000000000
2012-04-11,4294.0000000000
2012-04-12,4348.0000000000
2012-04-13,4408.0000000000
2012-04-14,4453.0000000000
2012-04-15,4511.0000000000
2012-04-16,4559.0000000000
2012-04-17,4611.0000000000
2012-04-18,4690.0000000000
2012-04-19,4741.0000000000
2012-04-20,4795.0000000000
2012-04-21,4857.0000000000
2012-04-22,4966.0000000000
2012-04-23,5046.0000000000
2012-04-24,5139.0000000000
2012-04-25,5211.0000000000
2012-04-26,5364.0000000000
2012-04-27,5566.0000000000
2012-04-28,5679.0000000000
2012-04-29,5767.0000000000
2012-04-30,5798.0000000000
2012-05-01,5798.0000000000
2012-05-02,5816.0000000000
2012-05-03,5897.0000000000
2012-05-04,5993.0000000000
2012-05-05,6053.0000000000
2012-05-06,6127.0000000000
2012-05-07,6220.0000000000
2012-05-08,6309.0000000000
2012-05-09,6392.0000000000
2012-05-10,6476.0000000000
2012-05-11,6552.0000000000
2012-05-12,6612.0000000000
2012-05-13,6683.0000000000
2012-05-14,6754.0000000000
2012-05-15,6827.0000000000
2012-05-16,6912.0000000000
2012-05-17,6984.0000000000
2012-05-18,7067.0000000000
2012-05-19,7122.0000000000
2012-05-20,7202.0000000000
2012-05-21,7296.0000000000
2012-05-22,7370.0000000000
2012-05-23,7409.0000000000
2012-05-24,7489.0000000000
2012-05-25,7571.0000000000
2012-05-26,7644.0000000000
2012-05-27,7697.0000000000
2012-05-28,7774.0000000000
2012-05-29,7857.0000000000
2012-05-30,7969.0000000000
2012-05-31,8039.0000000000
2012-06-01,8121.0000000000
2012-06-02,8178.0000000000
2012-06-03,8266.0000000000
2012-06-04,8346.0000000000
2012-06-05,8431.0000000000
2012-06-06,8497.0000000000
2012-06-07,8574.0000000000
2012-06-08,8666.0000000000
2012-06-09,8773.0000000000
2012-06-10,8862.0000000000
2012-06-11,8946.0000000000
2012-06-12,9046.0000000000
2012-06-13,9160.0000000000
2012-06-14,9257.0000000000
2012-06-15,9370.0000000000
2012-06-16,9464.0000000000
2012-06-17,9541.0000000000
2012-06-18,9665.0000000000
2012-06-19,9748.0000000000
2012-06-20,9868.0000000000
2012-06-21,9963.0000000000
2012-06-22,10072.0000000000
2012-06-23,10172.0000000000
2012-06-24,10250.0000000000
2012-06-25,10358.0000000000
2012-06-26,10473.0000000000
2012-06-27,10600.0000000000
