day,btc
2010-08-28,12313.279997899999
2010-08-29,7825.2299999999996
2010-08-30,13493.390000400001
2010-08-31,34678.870000000003
2010-09-01,16838.340000100001
2010-09-02,26744.380000000001
2010-09-03,25222.93
2010-09-04,25525.07
2010-09-05,30472.939999999999
2010-09-06,28246.48
2010-09-07,13053.370000000001
2010-09-08,13112.5700003
2010-09-09,17065.420000099999
2010-09-10,9903.7499999999909
2010-09-11,9319.6100000000006
2010-09-12,15655.190000000001
2010-09-13,28146.849999999999
2010-09-14,20310.460396480001
2010-09-15,27692.779999999999
2010-09-16,27343.68
2010-09-17,69597.940000000002
2010-09-18,39194.760000000002
2010-09-19,35596.389999999999
2010-09-20,32116.25
2010-09-21,16484.389999999999
2010-09-22,28449.66
2010-09-23,68421.360000000001
2010-09-24,17665.400000000001
2010-09-25,23699.009999999998
2010-09-26,20124.400000000001
2010-09-27,29461.009999999998
2010-09-28,74100.337194940003
2010-09-29,24535.23
2010-09-30,31255.509999999998
2010-10-01,35196.507266469998
2010-10-02,291801.32000000001
2010-10-03,36444.07
2010-10-04,67874.830000000002
2010-10-05,102292.2800002
2010-10-06,83304.949999999997
2010-10-07,94175.410000000003
2010-10-08,117235
2010-10-09,147294
2010-10-10,90803.880000000005
2010-10-11,24543.639999999999
2010-10-12,48574.529999999999
2010-10-13,35415.910000000003
2010-10-14,85691.710000000006
2010-10-15,39505.989999999998
2010-10-16,96521.339999999997
2010-10-17,11305.5
2010-10-18,35271.57
2010-10-19,36214.330000000002
2010-10-20,54104.480000000003
2010-10-21,60711.050000000003
2010-10-22,25746.259999999998
2010-10-23,21698.439999999999
2010-10-24,71597.270000000004
2010-10-25,41718.330000000002
2010-10-26,60363.910000000003
2010-10-27,86435.320000000007
2010-10-28,84474.860000000001
2010-10-29,53476.559999999998
2010-10-30,34370.029999999999
2010-10-31,47020.709999999999
2010-11-01,23230.009999999998
2010-11-02,22931.529999999999
2010-11-03,30740.130000000001
2010-11-04,125735.78
2010-11-05,35875.339999999997
2010-11-06,103454.33
2010-11-07,28453
2010-11-08,416232.04999999999
2010-11-09,28960.540000000001
2010-11-10,27588.549999999999
2010-11-11,19380.389999999999
2010-11-12,13970.639999999999
2010-11-13,20010.91
2010-11-14,30746.279999999999
2010-11-15,57937.589999999997
2010-11-16,30316.41
2010-11-17,29685.349999999999
2010-11-18,29597.52
2010-11-19,17368.990000000002
2010-11-20,44034.419999999998
2010-11-21,40807.080000000002
2010-11-22,14162.290000000001
2010-11-23,32754.610000000001
2010-11-24,24164.490000000002
2010-11-25,38388.900000000001
2010-11-26,77918.350000000195
2010-11-27,18529.369999999999
2010-11-28,12239.15
2010-11-29,31915.889999999999
2010-11-30,53735.540000000001
2010-12-01,37473.620000000003
2010-12-02,38939.160000000003
2010-12-03,23066.799999999999
2010-12-04,44605.427928520003
2010-12-05,19234.66
2010-12-06,66230.035981160094
2010-12-07,57370.821290380103
2010-12-08,16956.119999999999
2010-12-09,22356.560000000001
2010-12-10,12543.860000000001
2010-12-11,33867.279999999999
2010-12-12,15748.200000000001
2010-12-13,81781.406540280004
2010-12-14,14767.32897246
2010-12-15,35432.970000000001
