day,cases
2020-01-24,1
2020-01-26,3
2020-01-29,1
2020-01-31,2
2020-02-03,3
2020-02-06,1
2020-02-11,1
2020-02-13,1
2020-02-21,2
2020-02-27,1
2020-02-29,8
2020-03-01,7
2020-03-02,23
2020-03-03,19
2020-03-04,33
2020-03-05,77
2020-03-06,53
2020-03-07,166
2020-03-08,116
2020-03-09,75
2020-03-10,188
2020-03-11,365
2020-03-12,439
2020-03-13,633
2020-03-14,759
2020-03-15,234
2020-03-16,1467
2020-03-17,1833
2020-03-18,2657
2020-03-19,4494
2020-03-20,6367
2020-03-21,5995
2020-03-22,8919
2020-03-23,11152
2020-03-24,10618
2020-03-25,12127
2020-03-26,17821
2020-03-27,18591
2020-03-28,22164
2020-03-29,16127
2020-03-30,22154
2020-03-31,26381
2020-04-01,35824
2020-04-02,32280
2020-04-03,32447
2020-04-04,31710
2020-04-05,28777
2020-04-06,31993
2020-04-07,30146
2020-04-08,31244
2020-04-09,36026
2020-04-10,34181
2020-04-11,28986
2020-04-12,25858
2020-04-13,27243
2020-04-14,28512
2020-04-15,26363
2020-04-16,29682
2020-04-17,33157
2020-04-18,27349
2020-04-19,25031
2020-04-20,30643
2020-04-21,25947
2020-04-22,29967
2020-04-23,32078
2020-04-24,31491
2020-04-25,30626
2020-04-26,25897
2020-04-27,24693
2020-04-28,24604
2020-04-29,26809
2020-04-30,29507
2020-05-01,34822
2020-05-02,26647
2020-05-03,23570
2020-05-04,24051
2020-05-05,24081
2020-05-06,24373
2020-05-07,28210
2020-05-08,27207
2020-05-09,24247
2020-05-10,18703
2020-05-11,19222
2020-05-12,23378
2020-05-13,20001
2020-05-14,25877
2020-05-15,24399
2020-05-16,23868
2020-05-17,18643
2020-05-18,22384
2020-05-19,20758
2020-05-20,22839
2020-05-21,25112
2020-05-22,23922
2020-05-23,19928
2020-05-24,20121
2020-05-25,19186
2020-05-26,18696
2020-05-27,18805
2020-05-28,21129
2020-05-29,24737
2020-05-30,22717
2020-05-31,18764
2020-06-01,17837
2020-06-02,19956
2020-06-03,19048
2020-06-04,27711
2020-06-05,26181
2020-06-06,20153
2020-06-07,17809
2020-06-08,16912
2020-06-09,20324
2020-06-10,21746
2020-06-11,22303
2020-06-12,25555
2020-06-13,24136
2020-06-14,18953
2020-06-15,21095
2020-06-16,24628
2020-06-17,27079
2020-06-18,28238
2020-06-19,30996
2020-06-20,31866
2020-06-21,25859
2020-06-22,29989
2020-06-23,38829
2020-06-24,36279
2020-06-25,39357
2020-06-26,49086
2020-06-27,40833
2020-06-28,42918
2020-06-29,41518
2020-06-30,50056
2020-07-01,49330
2020-07-02,55084
2020-07-03,51658
2020-07-04,46024
2020-07-05,53950
2020-07-06,43632
2020-07-07,57413
2020-07-08,60504
2020-07-09,59832
2020-07-10,68522
2020-07-11,60441
2020-07-12,60220
2020-07-13,59625
2020-07-14,65757
2020-07-15,66299
2020-07-16,70774
2020-07-17,66422
2020-07-18,64325
2020-07-19,58993
2020-07-20,60856
2020-07-21,68295
2020-07-22,67450
2020-07-23,67767
2020-07-24,74949
2020-07-25,63755
2020-07-26,55631
2020-07-27,59997
2020-07-28,64564
2020-07-29,64052
2020-07-30,69204
2020-07-31,64375
2020-08-01,57424
2020-08-02,46889
2020-08-03,41896
2020-08-04,61621
2020-08-05,54137
2020-08-06,60036
2020-08-07,60441
2020-08-08,63767
2020-08-09,54163
2020-08-10,51637
2020-08-11,56876
2020-08-12,55222
2020-08-13,51446
2020-08-14,70072
2020-08-15,52325
2020-08-16,34577
2020-08-17,37997
2020-08-18,44975
2020-08-19,45915
2020-08-20,45135
2020-08-21,47900
2020-08-22,45271
2020-08-23,31903
2020-08-24,34091
2020-08-25,42562
2020-08-26,42192
2020-08-27,50437
2020-08-28,46320
2020-08-29,43071
2020-08-30,34168
2020-08-31,33526
2020-09-01,41969
2020-09-02,40118
2020-09-03,45211
2020-09-04,48659
2020-09-05,43238
2020-09-06,29078
2020-09-07,24702
2020-09-08,27103
2020-09-09,33851
2020-09-10,39622
2020-09-11,44825
2020-09-12,45615
2020-09-13,40308
2020-09-14,32901
2020-09-15,37439
2020-09-16,38349
2020-09-17,45441
2020-09-18,50227
2020-09-19,45655
2020-09-20,41605
2020-09-21,32260
2020-09-22,38308
2020-09-23,41230
2020-09-24,48997
2020-09-25,47626
2020-09-26,43890
2020-09-27,33707
2020-09-28,36571
2020-09-29,42290
2020-09-30,38916
2020-10-01,46362
2020-10-02,53547
2020-10-03,49380
2020-10-04,33370
2020-10-05,37947
2020-10-06,45021
2020-10-07,49467
2020-10-08,58213
2020-10-09,55331
2020-10-10,55254
2020-10-11,46880
2020-10-12,42955
2020-10-13,50596
2020-10-14,59171
2020-10-15,63862
2020-10-16,70310
2020-10-17,54850
2020-10-18,52294
2020-10-19,68737
2020-10-20,62571
2020-10-21,61425
2020-10-22,80216
2020-10-23,82132
2020-10-24,78099
2020-10-25,60377
2020-10-26,64470
2020-10-27,78977
2020-10-28,88388
2020-10-29,92679
2020-10-30,100499
2020-10-31,86772
2020-11-01,78138
2020-11-02,83938
2020-11-03,126902
2020-11-04,102069
2020-11-05,130032
2020-11-06,129127
2020-11-07,127222
2020-11-08,119368
2020-11-09,119525
2020-11-10,139101
2020-11-11,149559
2020-11-12,159643
2020-11-13,178761
2020-11-14,162957
2020-11-15,138514
2020-11-16,155737
2020-11-17,167352
2020-11-18,173416
2020-11-19,191967
2020-11-20,201085
2020-11-21,177604
2020-11-22,145235
2020-11-23,184286
2020-11-24,174968
2020-11-25,181251
2020-11-26,112911
2020-11-27,215202
2020-11-28,167489
2020-11-29,139673
2020-11-30,158531
2020-12-01,198831
2020-12-02,197016
2020-12-03,219423
2020-12-04,235134
2020-12-05,219923
2020-12-06,178131
2020-12-07,196241
2020-12-08,227499
2020-12-09,215735
2020-12-10,235777
2020-12-11,236902
2020-12-12,222756
2020-12-13,190642
2020-12-14,210361
2020-12-15,227221
2020-12-16,234143
2020-12-17,239174
2020-12-18,246440
2020-12-19,205025
2020-12-20,186169
2020-12-21,197425
2020-12-22,205790
2020-12-23,220787
2020-12-24,211595
2020-12-25,125524
2020-12-26,217968
2020-12-27,136183
2020-12-28,174633
2020-12-29,206841
2020-12-30,218748
2020-12-31,313926
2021-01-01,177520
2021-01-02,272624
2021-01-03,203213
2021-01-04,186733
2021-01-05,232142
2021-01-06,259715
2021-01-07,285063
2021-01-08,302860
2021-01-09,263504
2021-01-10,209946
2021-01-11,204502
2021-01-12,222416
2021-01-13,228675
2021-01-14,234924
2021-01-15,244336
2021-01-16,216982
2021-01-17,176165
2021-01-18,141284
2021-01-19,157014
2021-01-20,187668
2021-01-21,192027
2021-01-22,191356
2021-01-23,177339
2021-01-24,139795
2021-01-25,129973
2021-01-26,151294
2021-01-27,155165
2021-01-28,166715
2021-01-29,163299
2021-01-30,150409
2021-01-31,112571
2021-02-01,125812
2021-02-02,117390
2021-02-03,124375
2021-02-04,124653
2021-02-05,130407
2021-02-06,116280
2021-02-07,89169
2021-02-08,83162
2021-02-09,95758
2021-02-10,95695
2021-02-11,106152
2021-02-12,99559
2021-02-13,90348
2021-02-14,68190
2021-02-15,56104
2021-02-16,59838
2021-02-17,69005
2021-02-18,72250
2021-02-19,74874
2021-02-20,73581
2021-02-21,55253
2021-02-22,56056
2021-02-23,73830
2021-02-24,74981
2021-02-25,77060
2021-02-26,74923
2021-02-27,70830
2021-02-28,51656
2021-03-01,50122
2021-03-02,58676
2021-03-03,67068
2021-03-04,68441
2021-03-05,67182
2021-03-06,60763
2021-03-07,41544
2021-03-08,44748
2021-03-09,55831
2021-03-10,57720
2021-03-11,61755
2021-03-12,62274
2021-03-13,56258
2021-03-14,38566
2021-03-15,51537
2021-03-16,55079
2021-03-17,59879
2021-03-18,62203
2021-03-19,60910
2021-03-20,58267
2021-03-21,35412
2021-03-22,48437
2021-03-23,52726
2021-03-24,87825
2021-03-25,67389
2021-03-26,76144
2021-03-27,63792
2021-03-28,46372
2021-03-29,66643
2021-03-30,62222
2021-03-31,69402
2021-04-01,76845
2021-04-02,73864
2021-04-03,64509
2021-04-04,37867
2021-04-05,68224
2021-04-06,63395
2021-04-07,75739
2021-04-08,79844
2021-04-09,84412
2021-04-10,70364
2021-04-11,47331
2021-04-12,63202
2021-04-13,80713
2021-04-14,74962
2021-04-15,74228
2021-04-16,82748
2021-04-17,55384
2021-04-18,43823
2021-04-19,59835
2021-04-20,62429
2021-04-21,64690
2021-04-22,66213
2021-04-23,62650
2021-04-24,54307
2021-04-25,34408
2021-04-26,43288
2021-04-27,52057
2021-04-28,55834
2021-04-29,57679
2021-04-30,57726
2021-05-01,48171
2021-05-02,30596
2021-05-03,45400
2021-05-04,42727
2021-05-05,45795
2021-05-06,45945
2021-05-07,48165
2021-05-08,34964
2021-05-09,22739
2021-05-10,32796
2021-05-11,35280
2021-05-12,35961
2021-05-13,37883
2021-05-14,41582
2021-05-15,30481
2021-05-16,17632
2021-05-17,25531
2021-05-18,29018
2021-05-19,29044
2021-05-20,30005
2021-05-21,28665
2021-05-22,20917
2021-05-23,13788
2021-05-24,22158
2021-05-25,23806
2021-05-26,24351
2021-05-27,26546
2021-05-28,21916
2021-05-29,12974
2021-05-30,7206
2021-05-31,6350
2021-06-01,21093
2021-06-02,16591
2021-06-03,17969
2021-06-04,17513
2021-06-05,15157
2021-06-06,5896
2021-06-07,14186
2021-06-08,12799
2021-06-09,18201
2021-06-10,14517
2021-06-11,24504
2021-06-12,8821
2021-06-13,5029
2021-06-14,11905
2021-06-15,10643
2021-06-16,11754
2021-06-17,11522
2021-06-18,20986
2021-06-19,8889
2021-06-20,4929
2021-06-21,10728
2021-06-22,10770
2021-06-23,12490
2021-06-24,14195
2021-06-25,24509
2021-06-26,9045
2021-06-27,4662
2021-06-28,13765
2021-06-29,7531
2021-06-30,15279
2021-07-01,14926
2021-07-02,29596
2021-07-03,5286
2021-07-04,4271
2021-07-05,9165
2021-07-06,22568
2021-07-07,20139
2021-07-08,20884
2021-07-09,46974
2021-07-10,10042
2021-07-11,11768
2021-07-12,29661
2021-07-13,26505
2021-07-14,31120
2021-07-15,31932
2021-07-16,78031
2021-07-17,14071
2021-07-18,20384
2021-07-19,49213
2021-07-20,39925
2021-07-21,47854
2021-07-22,56427
2021-07-23,120781
2021-07-24,29395
2021-07-25,28654
2021-07-26,78538
2021-07-27,65151
2021-07-28,73570
2021-07-29,72356
2021-07-30,191156
2021-07-31,44736
2021-08-01,45414
2021-08-02,107474
2021-08-03,98079
2021-08-04,102405
2021-08-05,109604
2021-08-06,251959
2021-08-07,63927
2021-08-08,35734
2021-08-09,158392
2021-08-10,118321
2021-08-11,154494
2021-08-12,143846
2021-08-13,226712
2021-08-14,74236
2021-08-15,47899
2021-08-16,193322
2021-08-17,151230
2021-08-18,167259
2021-08-19,155376
2021-08-20,239003
2021-08-21,93589
2021-08-22,45416
2021-08-23,206166
2021-08-24,155223
2021-08-25,179154
2021-08-26,183791
2021-08-27,238345
2021-08-28,80085
2021-08-29,53230
2021-08-30,227918
2021-08-31,180081
2021-09-01,190387
2021-09-02,179180
2021-09-03,235115
2021-09-04,87370
2021-09-05,64743
2021-09-06,90037
2021-09-07,210084
2021-09-08,177624
2021-09-09,166706
2021-09-10,241690
2021-09-11,90575
2021-09-12,49620
2021-09-13,207683
2021-09-14,145609
2021-09-15,173213
2021-09-16,158653
2021-09-17,210630
2021-09-18,76313
2021-09-19,46031
2021-09-20,169381
2021-09-21,121879
2021-09-22,131631
2021-09-23,129076
2021-09-24,174569
2021-09-25,61915
2021-09-26,55657
2021-09-27,153901
2021-09-28,113209
2021-09-29,121880
2021-09-30,110147
2021-10-01,154832
2021-10-02,49796
2021-10-03,46238
2021-10-04,140564
2021-10-05,95558
2021-10-06,112749
2021-10-07,101108
2021-10-08,130561
2021-10-09,40380
2021-10-10,41019
2021-10-11,92844
2021-10-12,111005
2021-10-13,108317
2021-10-14,86184
2021-10-15,108751
2021-10-16,41390
2021-10-17,33191
2021-10-18,96631
2021-10-19,82630
2021-10-20,92233
2021-10-21,77332
2021-10-22,95899
2021-10-23,34331
2021-10-24,20971
2021-10-25,109473
2021-10-26,67666
2021-10-27,102467
2021-10-28,74558
2021-10-29,94717
2021-10-30,36339
2021-10-31,34031
2021-11-01,109840
2021-11-02,70093
2021-11-03,86715
