day,usd
1993-04-01,4225873987843.4399
1993-04-02,4233931445349.25
1993-04-05,4234896272588.71
1993-04-06,4235831062753.04
1993-04-07,4246168040810.5601
1993-04-08,4242020324803.27
1993-04-09,4238714749237.27
1993-04-12,4241098341044.8599
1993-04-13,4242477932899.6001
1993-04-14,4244194263335.02
1993-04-15,4249993950091.4399
1993-04-16,4251467295773.5698
1993-04-19,4253000590694.5801
1993-04-20,4254483393350.1602
1993-04-21,4257525633707.1899
1993-04-22,4228120864442.9199
1993-04-23,4230203486737.4502
1993-04-26,4232458084694.4702
1993-04-27,4234898715570.4502
1993-04-28,4238574107662.1802
1993-04-29,4237170727243.2798
1993-04-30,4254084170636.0098
1993-05-03,4238348617824.5498
1993-05-04,4240752224351.5498
1993-05-05,4243812928219.2402
1993-05-06,4244489820621.4399
1993-05-07,4240467481424.3799
1993-05-10,4239181013973.8301
1993-05-11,4241563251233.2202
1993-05-12,4245569745868.3599
1993-05-13,4247268504239.0801
1993-05-14,4247908515485.8999
1993-05-17,4282840338892.2002
1993-05-18,4284319830220.98
1993-05-19,4285942530790.21
1993-05-20,4287296327978
1993-05-21,4287849937583.96
1993-05-24,4289248864590.9199
1993-05-25,4289997991055.52
1993-05-26,4293295034918.79
1993-05-27,4295640444150.75
1993-05-28,4296278014612.4302
1993-06-01,4304846924516.3501
1993-06-02,4301597684725.4702
1993-06-03,4294168230173.5
1993-06-04,4301347713341.6602
1993-06-07,4301281229791
1993-06-08,4303726252363.71
1993-06-09,4300363069605.6602
1993-06-10,4298707666818.3901
1993-06-11,4300437428305.7402
1993-06-14,4301108267950.79
1993-06-15,4301302751632.5498
1993-06-16,4302702770198.75
1993-06-17,4296788021011.1299
1993-06-18,4296985941229.8999
1993-06-21,4298022359229.6099
1993-06-22,4299889449998.0698
1993-06-23,4302429272488.54
1993-06-24,4304357332097.6602
1993-06-25,4305268550989.52
1993-06-28,4308429367169.3701
1993-06-29,4309613793364.1299
1993-06-30,4351950333834.7598
1993-07-01,4346364235426.75
1993-07-02,4336425589564.9399
1993-07-06,4337115603632.4902
1993-07-07,4337775212166.6401
1993-07-08,4340814508845.8999
1993-07-09,4336575146686.6802
1993-07-12,4333686507733.04
1993-07-13,4335589907030.8901
1993-07-14,4336911526100.2598
1993-07-15,4333088457842.0898
1993-07-16,4334092903543.6602
1993-07-19,4334398784435.6899
1993-07-20,4335488071744.2998
1993-07-21,4336608558720.5298
