day,mm
2017-01-01,0.10000000000000001
2017-01-02,5.2000000000000002
2017-01-03,7.5999999999999996
2017-01-04,0.80000000000000004
2017-01-05,0
2017-01-06,1.8
2017-01-07,6.2000000000000002
2017-01-08,1.1000000000000001
2017-01-09,0
2017-01-10,0
2017-01-11,3.2000000000000002
2017-01-12,9.5999999999999996
2017-01-13,0
2017-01-14,0.59999999999999998
2017-01-15,0.40000000000000002
2017-01-16,0
2017-01-17,2.1000000000000001
2017-01-18,4.0999999999999996
2017-01-19,0
2017-01-20,2
2017-01-21,1.2
2017-01-22,0.29999999999999999
2017-01-23,3.7999999999999998
2017-01-24,40.5
2017-01-25,4.0999999999999996
2017-01-26,2.2000000000000002
2017-01-27,0.10000000000000001
2017-01-28,0
2017-01-29,0
2017-01-30,0
2017-01-31,1.2
2017-02-01,0
2017-02-02,0
2017-02-03,0
2017-02-04,0
2017-02-05,0.10000000000000001
2017-02-06,0
2017-02-07,4.2000000000000002
2017-02-08,0.69999999999999996
2017-02-09,23.5
2017-02-10,0
2017-02-11,1
2017-02-12,10.5
2017-02-13,0.10000000000000001
2017-02-14,0
2017-02-15,0.5
2017-02-16,0
2017-02-17,0
2017-02-18,0
2017-02-19,0
2017-02-20,0
2017-02-21,0
2017-02-22,0.20000000000000001
2017-02-23,0
2017-02-24,0.90000000000000002
2017-02-25,1.3
2017-02-26,8.1999999999999993
2017-02-27,0
2017-02-28,0
2017-03-01,5.2000000000000002
2017-03-02,0
2017-03-03,0.29999999999999999
2017-03-04,0
2017-03-05,0
2017-03-06,0
2017-03-07,4.9000000000000004
2017-03-08,2.6000000000000001
2017-03-09,0
2017-03-10,8.4000000000000004
2017-03-11,0
2017-03-12,0
2017-03-13,0
2017-03-14,46.799999999999997
2017-03-15,0.59999999999999998
2017-03-16,0
2017-03-17,0
2017-03-18,2.1000000000000001
2017-03-19,0.40000000000000002
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-25,1.8
2017-03-26,0.20000000000000001
2017-03-27,9.5999999999999996
2017-03-28,8.0999999999999996
2017-03-29,4.4000000000000004
2017-03-30,0
2017-03-31,18.5
2017-04-01,9.8000000000000007
2017-04-02,0
2017-04-03,0
2017-04-04,17.800000000000001
2017-04-05,0.10000000000000001
2017-04-06,25.300000000000001
2017-04-07,0.90000000000000002
2017-04-08,0
2017-04-09,0
2017-04-10,0
2017-04-11,0
2017-04-12,0.40000000000000002
2017-04-13,0
2017-04-14,0
2017-04-15,0
2017-04-16,0.59999999999999998
2017-04-17,0.59999999999999998
2017-04-18,0
2017-04-19,0.10000000000000001
2017-04-20,2.6000000000000001
2017-04-21,6.7999999999999998
2017-04-22,3.2999999999999998
2017-04-23,0
2017-04-24,0.29999999999999999
2017-04-25,6.9000000000000004
2017-04-26,10.199999999999999
2017-04-27,0
2017-04-28,0.20000000000000001
2017-04-29,8.9000000000000004
2017-04-30,0.20000000000000001
2017-05-01,0.69999999999999996
2017-05-02,1
2017-05-03,0
2017-05-04,0
2017-05-05,31.899999999999999
2017-05-06,4.5
2017-05-07,1
2017-05-08,0
2017-05-09,0.20000000000000001
2017-05-10,0
2017-05-11,0
2017-05-12,0
2017-05-13,28.399999999999999
2017-05-14,9.9000000000000004
2017-05-15,0.20000000000000001
2017-05-16,0
2017-05-17,0
2017-05-18,0
2017-05-19,0.20000000000000001
2017-05-20,1
2017-05-21,0
2017-05-22,16
2017-05-23,0
2017-05-24,1.8
2017-05-25,13
2017-05-26,10.9
2017-05-27,0.29999999999999999
2017-05-28,0
2017-05-29,6.2999999999999998
2017-05-30,0.10000000000000001
2017-05-31,4.4000000000000004
2017-06-01,0
2017-06-02,0.29999999999999999
2017-06-03,1.8
2017-06-04,0.40000000000000002
2017-06-05,3.7000000000000002
2017-06-06,1.1000000000000001
2017-06-07,0.40000000000000002
2017-06-08,0
2017-06-09,0.80000000000000004
2017-06-10,0
2017-06-11,0
2017-06-12,0
2017-06-13,0
2017-06-14,5.4000000000000004
2017-06-15,0
2017-06-16,0.59999999999999998
2017-06-17,1.8999999999999999
2017-06-18,20.199999999999999
2017-06-19,14.1
2017-06-20,7.5
2017-06-21,2.7999999999999998
2017-06-22,0
2017-06-23,1
2017-06-24,23
2017-06-25,0.10000000000000001
2017-06-26,0
2017-06-27,9.1999999999999993
2017-06-28,0
2017-06-29,0
2017-06-30,0.80000000000000004
2017-07-01,2
2017-07-02,0.59999999999999998
2017-07-03,2.7999999999999998
2017-07-04,0
2017-07-05,0
2017-07-06,1.7
2017-07-07,59.100000000000001
2017-07-08,1.6000000000000001
2017-07-09,0
2017-07-10,1
2017-07-11,4.7000000000000002
2017-07-12,5.5
2017-07-13,2
2017-07-14,8.8000000000000007
2017-07-15,1.3
2017-07-16,0
2017-07-17,0
2017-07-18,1.2
2017-07-19,0
2017-07-20,0
2017-07-21,0.10000000000000001
2017-07-22,0
2017-07-23,22.899999999999999
2017-07-24,35.299999999999997
2017-07-25,25.300000000000001
2017-07-26,0
2017-07-27,0.69999999999999996
2017-07-28,1.3999999999999999
2017-07-29,6.5
2017-07-30,0
2017-07-31,0
2017-08-01,0
2017-08-02,9.4000000000000004
2017-08-03,0
2017-08-04,13.1
2017-08-05,13.199999999999999
2017-08-06,0
2017-08-07,25.800000000000001
2017-08-08,6.9000000000000004
2017-08-09,0
2017-08-10,0
2017-08-11,0
2017-08-12,11.4
2017-08-13,0.5
2017-08-14,0.29999999999999999
2017-08-15,12.4
2017-08-16,0
2017-08-17,0
2017-08-18,11.800000000000001
2017-08-19,1.2
2017-08-20,0
2017-08-21,0
2017-08-22,0.5
2017-08-23,8
2017-08-24,0
2017-08-25,0.10000000000000001
2017-08-26,0
2017-08-27,0
2017-08-28,0
2017-08-29,2.2999999999999998
2017-08-30,5.7999999999999998
2017-08-31,0
2017-09-01,0
2017-09-02,0
2017-09-03,27.100000000000001
2017-09-04,0
2017-09-05,0.10000000000000001
2017-09-06,14.6
2017-09-07,9.4000000000000004
2017-09-08,0.10000000000000001
2017-09-09,0
