day,close
2017-01-03,406.5
2017-01-04,418.5
2017-01-05,426.25
2017-01-06,423.25
2017-01-09,427.25
2017-01-10,426.75
2017-01-11,418.75
2017-01-12,426.25
2017-01-13,426
2017-01-17,433.5
2017-01-18,431
2017-01-19,423.5
2017-01-20,428.25
2017-01-23,433.25
2017-01-24,426.75
2017-01-25,424.5
2017-01-26,427
2017-01-27,420.5
2017-01-30,414
2017-01-31,420.75
2017-02-01,433.75
2017-02-02,434.5
2017-02-03,430.25
2017-02-06,422.5
2017-02-07,430.75
2017-02-08,432.5
2017-02-09,443.5
2017-02-10,449
2017-02-13,452.25
2017-02-14,449.5
2017-02-15,454.75
2017-02-16,447.75
2017-02-17,441
2017-02-21,436
2017-02-22,441.25
2017-02-23,438
2017-02-24,431.25
2017-02-27,418.75
2017-02-28,424.75
2017-03-01,435.5
2017-03-02,432
2017-03-03,433.75
2017-03-06,438.25
2017-03-07,436
2017-03-08,427.5
2017-03-09,426
2017-03-10,422.75
2017-03-13,412.25
2017-03-14,412
2017-03-15,436
2017-03-16,436
2017-03-17,436.25
2017-03-20,430.25
2017-03-21,426.5
2017-03-22,422.25
2017-03-23,421
2017-03-24,424.75
2017-03-27,420.75
2017-03-28,424.5
2017-03-29,425.5
2017-03-30,421
2017-03-31,426.5
2017-04-03,427.75
2017-04-04,427
2017-04-05,429.75
2017-04-06,423.25
2017-04-07,424
2017-04-10,428.75
2017-04-11,433.25
2017-04-12,433.25
2017-04-13,429.75
2017-04-17,421
2017-04-18,422.5
2017-04-19,419
2017-04-20,406.25
2017-04-21,405
2017-04-24,402.5
2017-04-25,408.75
2017-04-26,407.75
2017-04-27,413.5
2017-04-28,418.5
2017-05-01,442.75
2017-05-02,441.5
2017-05-03,443
2017-05-04,426
2017-05-05,427.5
2017-05-08,418
2017-05-09,421.75
2017-05-10,424
2017-05-11,426
2017-05-12,425
2017-05-15,423.25
2017-05-16,424.25
2017-05-17,427
2017-05-18,425.75
2017-05-19,435.25
2017-05-22,434.25
2017-05-23,429.5
2017-05-24,432.5
2017-05-25,430.75
2017-05-26,438.25
2017-05-30,429.5
2017-05-31,429.25
2017-06-01,429
2017-06-02,429.5
2017-06-05,429.5
2017-06-06,435.75
2017-06-07,444.75
2017-06-08,449.25
2017-06-09,445.75
2017-06-12,434
2017-06-13,445
2017-06-14,443
2017-06-15,453.75
2017-06-16,465.25
2017-06-19,467
2017-06-20,472.5
2017-06-21,464.5
2017-06-22,461.25
2017-06-23,459.75
2017-06-26,450
2017-06-27,453.25
2017-06-28,457.25
2017-06-29,480.25
2017-06-30,511
2017-07-03,536.75
2017-07-05,539.25
2017-07-06,519
2017-07-07,515.25
2017-07-10,530.5
2017-07-11,535.5
2017-07-12,522.5
2017-07-13,495.5
2017-07-14,494.75
2017-07-17,506
2017-07-18,503.75
2017-07-19,503
2017-07-20,505.75
2017-07-21,499.25
2017-07-24,488.75
2017-07-25,474
2017-07-26,477.75
2017-07-27,479.75
2017-07-28,481
2017-07-31,474.5
2017-08-01,461.25
2017-08-02,460.75
2017-08-03,457.75
2017-08-04,454.75
2017-08-07,463.5
2017-08-08,457
2017-08-09,459.5
2017-08-10,440.5
2017-08-11,439.25
2017-08-14,441
2017-08-15,429.5
2017-08-16,419.25
2017-08-17,414
2017-08-18,416
2017-08-21,409.5
2017-08-22,402.25
2017-08-23,403.25
2017-08-24,409
2017-08-25,409.5
2017-08-28,400
2017-08-29,402.75
2017-08-30,403.5
2017-08-31,410.25
2017-09-01,420.5
2017-09-05,430.5
2017-09-06,421.75
2017-09-07,413.5
2017-09-08,413.75
2017-09-11,412.25
2017-09-12,419.5
