day,downloads
2017-06-30,903
2017-07-01,636
2017-07-02,545
2017-07-03,592
2017-07-04,868
2017-07-05,635
2017-07-06,520
2017-07-07,626
2017-07-08,369
2017-07-09,309
2017-07-10,595
2017-07-11,1003
2017-07-12,669
2017-07-13,658
2017-07-14,641
2017-07-15,526
2017-07-16,377
2017-07-17,957
2017-07-18,669
2017-07-19,572
2017-07-20,753
2017-07-21,1490
2017-07-22,418
2017-07-23,608
2017-07-24,920
2017-07-25,1119
2017-07-26,1200
2017-07-27,943
2017-07-28,933
2017-07-29,453
2017-07-30,661
2017-07-31,1002
2017-08-01,1011
2017-08-02,695
2017-08-03,1382
2017-08-04,1303
2017-08-05,581
2017-08-06,653
2017-08-07,964
2017-08-08,988
2017-08-09,1558
2017-08-10,1747
2017-08-11,1292
2017-08-12,368
2017-08-13,600
2017-08-14,1340
2017-08-15,1598
2017-08-16,1003
2017-08-17,1037
2017-08-18,1117
2017-08-19,552
2017-08-20,510
2017-08-21,802
2017-08-22,1005
2017-08-23,1026
2017-08-24,784
2017-08-25,920
2017-08-26,818
2017-08-27,316
2017-08-28,1150
2017-08-29,790
2017-08-30,1042
2017-08-31,1626
2017-09-01,1370
2017-09-02,615
2017-09-03,472
2017-09-04,919
2017-09-05,1722
2017-09-06,1242
2017-09-07,1700
2017-09-08,853
2017-09-09,710
2017-09-10,549
2017-09-11,1133
2017-09-12,1124
2017-09-13,1473
2017-09-14,1447
2017-09-15,1038
2017-09-16,863
2017-09-17,711
2017-09-18,1359
2017-09-19,1713
2017-09-20,1483
2017-09-21,1391
2017-09-22,996
2017-09-23,763
2017-09-24,620
2017-09-25,1135
2017-09-26,1594
2017-09-27,1440
2017-09-28,1617
2017-09-29,810
2017-09-30,491
2017-10-01,440
2017-10-02,1195
2017-10-03,1134
2017-10-04,1067
2017-10-05,1188
2017-10-06,1834
2017-10-07,912
2017-10-08,652
2017-10-09,1211
2017-10-10,1918
2017-10-11,3181
2017-10-12,1364
2017-10-13,1669
2017-10-14,968
2017-10-15,858
2017-10-16,1455
2017-10-17,1054
2017-10-18,1224
2017-10-19,1316
2017-10-20,1101
2017-10-21,372
2017-10-22,374
2017-10-23,1195
2017-10-24,1630
2017-10-25,1425
2017-10-26,1084
2017-10-27,1317
2017-10-28,1063
2017-10-29,746
2017-10-30,1135
2017-10-31,2128
2017-11-01,1791
2017-11-02,1221
2017-11-03,1362
2017-11-04,653
2017-11-05,320
2017-11-06,1187
2017-11-07,1177
2017-11-08,1714
2017-11-09,873
2017-11-10,649
2017-11-11,326
2017-11-12,761
2017-11-13,1290
2017-11-14,1217
2017-11-15,2371
2017-11-16,685
2017-11-17,1529
2017-11-18,711
2017-11-19,507
2017-11-20,1423
2017-11-21,1272
2017-11-22,1617
2017-11-23,1014
2017-11-24,1099
2017-11-25,331
2017-11-26,220
2017-11-27,722
2017-11-28,1085
2017-11-29,840
2017-11-30,720
2017-12-01,722
2017-12-02,469
2017-12-03,335
2017-12-04,824
2017-12-05,868
2017-12-06,755
2017-12-07,812
2017-12-08,784
2017-12-09,539
2017-12-10,450
2017-12-11,848
2017-12-12,1027
2017-12-13,753
2017-12-14,964
2017-12-15,950
2017-12-16,434
2017-12-17,505
2017-12-18,755
2017-12-19,971
2017-12-20,930
2017-12-21,1045
2017-12-22,1374
2017-12-23,556
2017-12-24,408
2017-12-25,376
2017-12-26,987
2017-12-27,962
2017-12-28,777
2017-12-29,699
2017-12-30,332
2017-12-31,494
2018-01-01,525
2018-01-02,585
2018-01-03,940
2018-01-04,917
2018-01-05,1157
2018-01-06,535
2018-01-07,404
2018-01-08,1025
2018-01-09,1016
2018-01-10,1027
2018-01-11,858
2018-01-12,967
2018-01-13,441
2018-01-14,437
2018-01-15,771
2018-01-16,704
2018-01-17,1025
2018-01-18,1166
2018-01-19,1266
2018-01-20,414
2018-01-21,372
2018-01-22,1072
2018-01-23,1178
2018-01-24,985
2018-01-25,896
2018-01-26,858
2018-01-27,381
2018-01-28,440
2018-01-29,1022
2018-01-30,899
2018-01-31,1233
2018-02-01,1140
2018-02-02,677
2018-02-03,461
2018-02-04,332
2018-02-05,862
2018-02-06,1057
2018-02-07,1294
2018-02-08,926
2018-02-09,1171
2018-02-10,334
2018-02-11,286
2018-02-12,1038
2018-02-13,1238
2018-02-14,1196
2018-02-15,939
2018-02-16,1189
2018-02-17,363
2018-02-18,461
2018-02-19,1104
2018-02-20,1151
2018-02-21,1303
2018-02-22,988
2018-02-23,1267
2018-02-24,728
2018-02-25,792
2018-02-26,1040
2018-02-27,1309
2018-02-28,1229
2018-03-01,1144
2018-03-02,1040
2018-03-03,607
2018-03-04,410
2018-03-05,958
2018-03-06,1102
2018-03-07,998
2018-03-08,898
2018-03-09,1101
2018-03-10,529
2018-03-11,470
2018-03-12,999
2018-03-13,1446
2018-03-14,1464
2018-03-15,1267
2018-03-16,1199
2018-03-17,629
2018-03-18,429
2018-03-19,1241
2018-03-20,1300
2018-03-21,1273
2018-03-22,1323
2018-03-23,1081
2018-03-24,575
2018-03-25,442
2018-03-26,1251
2018-03-27,1621
2018-03-28,1436
2018-03-29,1008
2018-03-30,1068
2018-03-31,521
2018-04-01,496
2018-04-02,1205
2018-04-03,1301
2018-04-04,1213
2018-04-05,1471
2018-04-06,1304
2018-04-07,396
2018-04-08,580
2018-04-09,1406
2018-04-10,1496
2018-04-11,1921
2018-04-12,1568
2018-04-13,1467
2018-04-14,608
2018-04-15,558
2018-04-16,1640
2018-04-17,1582
2018-04-18,1767
2018-04-19,1605
2018-04-20,1426
2018-04-21,592
2018-04-22,518
2018-04-23,1507
2018-04-24,1587
2018-04-25,1413
2018-04-26,1733
2018-04-27,1038
2018-04-28,512
2018-04-29,514
2018-04-30,1180
2018-05-01,1026
2018-05-02,1325
2018-05-03,1300
2018-05-04,1134
2018-05-05,599
2018-05-06,642
2018-05-07,1429
2018-05-08,1484
2018-05-09,1235
2018-05-10,1193
2018-05-11,1162
2018-05-12,596
2018-05-13,486
2018-05-14,1341
2018-05-15,1527
2018-05-16,1477
2018-05-17,1278
2018-05-18,1382
2018-05-19,884
2018-05-20,821
2018-05-21,1477
2018-05-22,1464
2018-05-23,1538
2018-05-24,1255
2018-05-25,1195
2018-05-26,132
2018-05-27,117
2018-05-28,239
2018-05-29,1066
2018-05-30,1252
2018-05-31,1459
2018-06-01,1332
2018-06-02,663
2018-06-03,898
2018-06-04,1713
2018-06-05,1727
2018-06-06,1509
2018-06-07,1735
2018-06-08,1371
2018-06-09,656
2018-06-10,670
2018-06-11,1747
2018-06-12,1392
2018-06-13,1548
2018-06-14,1420
2018-06-15,1226
2018-06-16,508
2018-06-17,373
2018-06-18,1271
2018-06-19,1554
2018-06-20,1703
2018-06-21,1541
2018-06-22,1369
2018-06-23,482
2018-06-24,500
2018-06-25,1608
2018-06-26,1783
2018-06-27,1623
2018-06-28,1292
2018-06-29,1191
2018-06-30,416
2018-07-01,564
2018-07-02,1298
2018-07-03,1322
2018-07-04,1096
2018-07-05,1316
2018-07-06,1176
2018-07-07,418
2018-07-08,492
2018-07-09,1441
2018-07-10,1321
2018-07-11,1474
2018-07-12,1317
2018-07-13,1202
2018-07-14,536
2018-07-15,436
2018-07-16,1404
2018-07-17,1514
2018-07-18,1682
2018-07-19,1353
2018-07-20,1243
2018-07-21,514
2018-07-22,559
2018-07-23,1380
2018-07-24,1507
2018-07-25,1523
2018-07-26,1825
2018-07-27,1295
2018-07-28,693
2018-07-29,664
2018-07-30,1530
2018-07-31,1665
2018-08-01,1625
2018-08-02,1952
2018-08-03,1376
2018-08-04,592
2018-08-05,711
2018-08-06,1809
2018-08-07,2244
2018-08-08,2110
2018-08-09,2071
2018-08-10,1862
2018-08-11,1067
2018-08-12,813
2018-08-13,2016
2018-08-14,1825
2018-08-15,1883
2018-08-16,1876
2018-08-17,1587
2018-08-18,662
2018-08-19,570
2018-08-20,1843
2018-08-21,2130
2018-08-22,1805
2018-08-23,1769
2018-08-24,1667
2018-08-25,918
2018-08-26,918
2018-08-27,1817
2018-08-28,2085
2018-08-29,1754
2018-08-30,1901
2018-08-31,1522
2018-09-01,589
2018-09-02,619
2018-09-03,1770
2018-09-04,1802
2018-09-05,1921
2018-09-06,1643
2018-09-07,1746
2018-09-08,806
2018-09-09,797
2018-09-10,1968
2018-09-11,2400
2018-09-12,1957
2018-09-13,2416
2018-09-14,1646
2018-09-15,972
2018-09-16,760
2018-09-17,2541
2018-09-18,1995
2018-09-19,2195
2018-09-20,2355
2018-09-21,1737
2018-09-22,793
2018-09-23,652
2018-09-24,1911
2018-09-25,2143
2018-09-26,2343
2018-09-27,2500
2018-09-28,2099
2018-09-29,883
2018-09-30,742
2018-10-01,1900
2018-10-02,1882
2018-10-03,2402
2018-10-04,2105
2018-10-05,1922
2018-10-06,730
2018-10-07,744
2018-10-08,2022
2018-10-09,2177
2018-10-10,2118
2018-10-11,2150
2018-10-12,2015
2018-10-13,875
2018-10-14,694
2018-10-15,2090
2018-10-16,2459
2018-10-17,2602
2018-10-18,2167
2018-10-19,1922
2018-10-20,908
2018-10-21,721
2018-10-22,1724
2018-10-23,2340
2018-10-24,2379
2018-10-25,2277
2018-10-26,2212
2018-10-27,884
2018-10-28,708
2018-10-29,2326
2018-10-30,2425
2018-10-31,2704
2018-11-01,3313
2018-11-02,2192
2018-11-03,1176
2018-11-04,868
2018-11-05,2352
2018-11-06,2374
2018-11-07,2194
2018-11-08,2217
2018-11-09,1894
2018-11-10,807
2018-11-11,757
2018-11-12,1925
2018-11-13,2238
2018-11-14,2076
2018-11-15,1916
2018-11-16,1990
2018-11-17,818
2018-11-18,776
2018-11-19,2475
2018-11-20,2432
2018-11-21,2317
2018-11-22,2548
2018-11-23,1708
2018-11-24,601
2018-11-25,692
2018-11-26,1981
2018-11-27,2502
2018-11-28,2895
2018-11-29,3069
2018-11-30,2809
2018-12-01,1060
2018-12-02,896
2018-12-03,2816
2018-12-04,3163
2018-12-05,3232
2018-12-06,2577
2018-12-07,2547
2018-12-08,1114
2018-12-09,920
2018-12-10,2230
2018-12-11,2382
2018-12-12,2613
2018-12-13,2653
2018-12-14,2349
2018-12-15,1161
2018-12-16,971
2018-12-17,2797
2018-12-18,3391
2018-12-19,3045
2018-12-20,3028
2018-12-21,2476
2018-12-22,1240
2018-12-23,1076
2018-12-24,1495
2018-12-25,1236
2018-12-26,1275
2018-12-27,1601
2018-12-28,1416
2018-12-29,834
2018-12-30,838
2018-12-31,1348
