day,cfs
2017-01-01,3880
2017-01-02,3920
2017-01-03,5140
2017-01-04,7730
2017-01-05,11600
2017-01-06,16800
2017-01-07,16500
2017-01-08,13500
2017-01-09,10500
2017-01-10,8300
2017-01-11,7780
2017-01-12,7620
2017-01-13,6870
2017-01-14,7440
2017-01-15,9030
2017-01-16,8980
2017-01-17,8810
2017-01-18,10000
2017-01-19,10100
2017-01-20,10800
2017-01-21,10700
2017-01-22,9920
2017-01-23,9910
2017-01-24,16600
2017-01-25,47400
2017-01-26,49100
2017-01-27,35000
2017-01-28,26600
2017-01-29,21700
2017-01-30,17700
2017-01-31,14900
2017-02-01,12900
2017-02-02,11200
2017-02-03,9740
2017-02-04,8600
2017-02-05,7690
2017-02-06,7000
2017-02-07,6370
2017-02-08,6080
2017-02-09,6090
2017-02-10,6450
2017-02-11,7670
2017-02-12,8320
2017-02-13,7970
2017-02-14,8790
2017-02-15,14000
2017-02-16,13700
2017-02-17,12000
2017-02-18,10400
2017-02-19,9250
2017-02-20,8120
2017-02-21,7100
2017-02-22,6590
2017-02-23,6140
2017-02-24,5650
2017-02-25,5260
2017-02-26,5110
2017-02-27,5080
2017-02-28,4830
2017-03-01,4950
2017-03-02,4770
2017-03-03,4960
2017-03-04,9680
2017-03-05,9020
2017-03-06,7640
2017-03-07,6590
2017-03-08,6170
2017-03-09,5730
2017-03-10,5820
2017-03-11,6240
2017-03-12,6050
2017-03-13,6230
2017-03-14,6500
2017-03-15,6260
2017-03-16,5810
2017-03-17,5800
2017-03-18,5850
2017-03-19,7510
2017-03-20,13400
2017-03-21,19600
2017-03-22,16700
2017-03-23,14300
2017-03-24,12600
2017-03-25,11800
2017-03-26,10800
2017-03-27,9930
2017-03-28,9490
2017-03-29,10300
2017-03-30,12300
2017-03-31,16500
2017-04-01,21100
2017-04-02,23300
2017-04-03,24200
2017-04-04,22600
2017-04-05,19900
2017-04-06,20300
2017-04-07,27000
2017-04-08,26500
2017-04-09,23000
2017-04-10,20000
