day,sources
2017-01-01,527585
2017-01-02,637707
2017-01-03,709060
2017-01-04,747029
2017-01-05,533611
2017-01-06,646134
2017-01-07,637902
2017-01-08,627191
2017-01-09,916050
2017-01-10,610796
2017-01-11,595312
2017-01-12,576584
2017-01-13,593010
2017-01-14,528340
2017-01-15,530466
2017-01-16,614372
2017-01-17,601487
2017-01-18,569946
2017-01-19,564089
2017-01-20,573146
2017-01-21,391067
2017-01-22,818262
2017-01-23,616887
2017-01-24,912146
2017-01-25,810104
2017-01-26,1051983
2017-01-27,885151
2017-01-28,380063
2017-01-29,470704
2017-01-30,454768
2017-01-31,492847
2017-02-01,493191
2017-02-02,658571
2017-02-03,438405
2017-02-04,650935
2017-02-05,1035660
2017-02-06,581534
2017-02-07,442159
2017-02-08,1248793
2017-02-09,517971
2017-02-10,494855
2017-02-11,748918
2017-02-12,438620
2017-02-13,732885
2017-02-14,743829
2017-02-15,569941
2017-02-16,487490
2017-02-17,729248
2017-02-18,557719
2017-02-19,477672
2017-02-20,517778
2017-02-21,655373
2017-02-22,535236
2017-02-23,463208
2017-02-24,477576
2017-02-25,520800
2017-02-26,766837
2017-02-27,649817
2017-02-28,582349
2017-03-01,510760
2017-03-02,570352
2017-03-03,725686
2017-03-04,575564
2017-03-05,585462
2017-03-06,1101618
2017-03-07,1013803
2017-03-08,685403
2017-03-09,1330157
2017-03-10,1835407
2017-03-11,1168089
2017-03-12,768215
2017-03-13,480675
2017-03-14,514668
2017-03-15,507934
2017-03-16,436305
2017-03-17,436947
2017-03-18,406326
2017-03-19,398168
2017-03-20,412280
2017-03-21,364300
2017-03-22,385374
2017-03-23,382609
2017-03-24,548301
2017-03-25,771904
2017-03-26,592827
2017-03-27,821509
2017-03-28,468036
2017-03-29,604606
2017-03-30,650166
2017-03-31,385543
2017-04-01,481513
2017-04-02,342102
2017-04-03,362663
2017-04-04,343068
2017-04-05,244559
2017-04-06,337762
2017-04-07,393398
2017-04-08,345727
2017-04-09,315999
2017-04-10,338589
2017-04-11,335323
2017-04-12,329272
2017-04-13,330074
2017-04-14,331304
2017-04-15,337363
2017-04-16,350949
2017-04-17,418684
2017-04-18,478536
2017-04-19,670807
2017-04-20,593585
2017-04-21,378787
2017-04-22,369086
2017-04-23,328112
2017-04-24,392273
2017-04-25,380511
2017-04-26,336037
2017-04-27,302670
2017-04-28,299277
2017-04-29,295392
2017-04-30,282509
2017-05-01,283431
2017-05-02,284002
2017-05-03,278937
2017-05-04,272789
2017-05-05,261920
2017-05-06,277651
2017-05-07,254843
2017-05-08,314414
2017-05-09,303241
2017-05-10,335309
2017-05-11,377593
2017-05-12,300153
2017-05-13,288114
2017-05-14,343538
2017-05-15,321784
2017-05-16,304715
2017-05-17,312422
2017-05-18,313612
2017-05-19,317006
2017-05-20,313679
2017-05-21,319718
2017-05-22,314323
2017-05-23,296053
2017-05-24,312853
2017-05-25,296419
2017-05-26,281175
2017-05-27,256982
2017-05-28,240491
2017-05-29,283682
2017-05-30,277391
2017-05-31,258519
2017-06-01,251021
2017-06-02,241785
2017-06-03,243847
2017-06-04,236233
2017-06-05,270938
2017-06-06,271036
2017-06-07,294402
2017-06-08,260007
2017-06-09,254462
2017-06-10,297660
2017-06-11,306587
2017-06-12,351596
2017-06-13,293339
2017-06-14,279766
2017-06-15,268725
2017-06-16,264110
2017-06-17,239901
2017-06-18,237006
2017-06-19,259321
2017-06-20,265997
2017-06-21,271013
2017-06-22,281428
2017-06-23,281359
2017-06-24,241284
2017-06-25,230309
2017-06-26,251518
2017-06-27,245810
2017-06-28,273451
2017-06-29,254183
2017-06-30,227234
2017-07-01,211355
2017-07-02,226663
2017-07-03,235572
2017-07-04,257977
2017-07-05,250174
2017-07-06,248898
2017-07-07,243917
2017-07-08,235211
2017-07-09,214533
2017-07-10,246812
2017-07-11,278619
2017-07-12,269953
2017-07-13,248294
2017-07-14,235637
2017-07-15,231978
2017-07-16,231664
2017-07-17,267490
2017-07-18,341704
2017-07-19,336268
2017-07-20,292252
2017-07-21,270270
2017-07-22,239493
2017-07-23,229085
2017-07-24,253378
2017-07-25,226521
2017-07-26,237151
2017-07-27,227444
2017-07-28,236884
2017-07-29,291634
2017-07-30,214029
2017-07-31,235020
2017-08-01,239953
2017-08-02,295441
2017-08-03,304227
2017-08-04,305931
2017-08-05,280567
2017-08-06,252054
2017-08-07,303359
2017-08-08,305186
2017-08-09,331591
2017-08-10,266784
2017-08-11,281690
2017-08-12,345382
2017-08-13,329108
2017-08-14,351742
2017-08-15,331923
2017-08-16,562493
2017-08-17,387734
2017-08-18,360040
2017-08-19,289341
2017-08-20,241280
2017-08-21,285806
2017-08-22,306486
2017-08-23,340992
2017-08-24,266411
2017-08-25,327250
2017-08-26,549603
2017-08-27,332187
2017-08-28,302527
2017-08-29,343276
2017-08-30,368085
2017-08-31,427059
2017-09-01,353733
2017-09-02,269091
2017-09-03,245308
2017-09-04,258396
2017-09-05,343464
2017-09-06,258658
2017-09-07,214835
2017-09-08,201366
2017-09-09,194250
2017-09-10,216283
2017-09-11,226598
2017-09-12,251887
2017-09-13,384989
2017-09-14,318945
2017-09-15,254992
2017-09-16,263065
2017-09-17,230331
2017-09-18,259599
2017-09-19,279333
2017-09-20,266526
2017-09-21,273130
2017-09-22,288887
2017-09-23,272886
2017-09-24,263680
2017-09-25,262271
2017-09-26,257660
2017-09-27,250638
2017-09-28,237126
2017-09-29,250046
2017-09-30,236792
2017-10-01,210557
2017-10-02,286158
2017-10-03,280580
2017-10-04,281356
2017-10-05,281456
2017-10-06,266992
2017-10-07,255778
2017-10-08,248764
2017-10-09,286892
2017-10-10,288287
2017-10-11,283606
2017-10-12,285206
2017-10-13,288463
2017-10-14,264199
2017-10-15,246400
2017-10-16,287672
2017-10-17,294339
2017-10-18,292402
2017-10-19,278694
2017-10-20,274094
2017-10-21,245420
2017-10-22,238405
2017-10-23,259705
2017-10-24,264028
2017-10-25,262219
2017-10-26,272171
2017-10-27,278744
2017-10-28,276516
2017-10-29,281291
2017-10-30,230235
2017-10-31,262234
2017-11-01,247003
2017-11-02,230753
2017-11-03,232742
2017-11-04,196695
2017-11-05,172408
2017-11-06,210261
2017-11-07,221371
2017-11-08,183688
2017-11-09,190475
2017-11-10,290489
2017-11-11,248257
2017-11-12,194357
2017-11-13,217917
2017-11-14,223897
2017-11-15,273477
2017-11-16,217635
2017-11-17,234953
2017-11-18,207761
2017-11-19,167183
2017-11-20,185559
2017-11-21,309578
2017-11-22,451049
2017-11-23,377116
2017-11-24,330256
2017-11-25,291211
2017-11-26,275327
2017-11-27,303034
2017-11-28,317620
2017-11-29,696899
2017-11-30,650054
2017-12-01,612585
2017-12-02,495726
2017-12-03,421451
2017-12-04,400875
2017-12-05,519209
2017-12-06,408454
2017-12-07,362392
2017-12-08,287073
2017-12-09,273520
2017-12-10,249794
2017-12-11,272970
2017-12-12,270362
2017-12-13,249427
2017-12-14,193927
2017-12-15,178873
2017-12-16,129149
2017-12-17,172491
2017-12-18,156598
2017-12-19,122362
2017-12-20,154961
2017-12-21,138429
2017-12-22,150136
2017-12-23,130263
2017-12-24,125658
2017-12-25,97700
2017-12-26,152664
2017-12-27,145535
2017-12-28,124832
2017-12-29,109412
2017-12-30,188174
2017-12-31,289066
2018-01-01,292449
2018-01-02,319849
2018-01-03,316774
2018-01-04,324077
2018-01-05,309363
2018-01-06,293105
2018-01-07,282285
2018-01-08,305683
2018-01-09,53924
2018-01-10,278941
2018-01-11,273459
2018-01-12,231282
2018-01-14,238011
2018-01-15,190435
2018-01-16,251530
2018-01-17,348065
2018-01-18,334319
2018-01-19,318923
2018-01-20,311746
2018-01-21,310675
2018-01-22,325987
2018-01-23,336389
2018-01-24,338677
2018-01-25,329116
2018-01-26,357460
2018-01-27,335045
2018-01-28,322881
2018-01-29,342616
2018-01-30,352097
2018-01-31,340381
2018-02-01,337985
2018-02-02,325897
2018-02-03,235933
2018-02-20,297319
2018-02-21,291105
2018-02-22,291604
2018-02-23,285714
2018-02-24,255957
2018-02-25,269539
2018-02-26,273255
2018-02-27,286706
2018-02-28,287520
2018-03-01,298480
2018-03-02,296249
2018-03-03,296948
2018-03-04,276136
