day,count
2017-01-01,1
2017-01-02,25
2017-01-03,32
2017-01-04,17
2017-01-05,14
2017-01-06,59
2017-01-07,0
2017-01-08,0
2017-01-09,5
2017-01-10,17
2017-01-11,52
2017-01-12,159
2017-01-13,42
2017-01-14,10
2017-01-15,10
2017-01-16,2
2017-01-17,7
2017-01-18,58
2017-01-19,39
2017-01-20,22
2017-01-21,1
2017-01-22,0
2017-01-23,91
2017-01-24,11
2017-01-25,10
2017-01-26,31
2017-01-27,261
2017-01-28,45
2017-01-29,0
2017-01-30,57
2017-01-31,48
2017-02-01,143
2017-02-02,15
2017-02-03,44
2017-02-04,6
2017-02-05,3
2017-02-06,31
2017-02-07,33
2017-02-08,86
2017-02-09,52
2017-02-10,9
2017-02-11,0
2017-02-12,6
2017-02-13,123
2017-02-14,4
2017-02-15,91
2017-02-16,8
2017-02-17,81
2017-02-18,3
2017-02-19,0
2017-02-20,154
2017-02-21,21
2017-02-22,65
2017-02-23,9
2017-02-24,36
2017-02-25,0
2017-02-26,1
2017-02-27,32
2017-02-28,12
2017-03-01,58
2017-03-02,48
2017-03-03,51
2017-03-04,8
2017-03-05,17
2017-03-06,24
2017-03-07,64
2017-03-08,109
2017-03-09,28
2017-03-10,25
2017-03-11,8
2017-03-12,11
2017-03-13,14
2017-03-14,58
2017-03-15,94
2017-03-16,40
2017-03-17,167
2017-03-18,4
2017-03-19,3
2017-03-20,50
2017-03-21,21
2017-03-22,21
2017-03-23,100
2017-03-24,48
2017-03-25,2
2017-03-26,9
2017-03-27,60
2017-03-28,38
2017-03-29,31
2017-03-30,22
2017-03-31,29
2017-04-01,11
2017-04-02,159
2017-04-03,47
2017-04-04,22
2017-04-05,33
2017-04-06,33
2017-04-07,85
2017-04-08,0
2017-04-09,26
2017-04-10,99
2017-04-11,34
2017-04-12,154
2017-04-13,67
2017-04-14,63
2017-04-15,3
2017-04-16,1
2017-04-17,31
2017-04-18,14
2017-04-19,21
2017-04-20,102
2017-04-21,47
2017-04-22,6
2017-04-23,19
2017-04-24,274
2017-04-25,39
2017-04-26,11
2017-04-27,20
2017-04-28,77
2017-04-29,9
2017-04-30,29
2017-05-01,31
2017-05-02,20
2017-05-03,28
2017-05-04,19
2017-05-05,45
2017-05-06,11
2017-05-07,20
2017-05-08,27
2017-05-09,41
2017-05-10,32
2017-05-11,1401
2017-05-12,176
2017-05-13,0
2017-05-14,4
2017-05-15,31
2017-05-16,31
2017-05-17,21
2017-05-18,42
2017-05-19,30
2017-05-20,0
2017-05-21,23
2017-05-22,129
2017-05-23,117
2017-05-24,17
2017-05-25,13
2017-05-26,28
2017-05-27,11
2017-05-28,10
2017-05-29,26
2017-05-30,16
2017-05-31,9
2017-06-01,14
2017-06-02,33
2017-06-03,0
2017-06-04,10
2017-06-05,30
2017-06-06,29
2017-06-07,59
2017-06-08,63
2017-06-09,68
2017-06-10,0
2017-06-11,3
2017-06-12,26
2017-06-13,113
2017-06-14,37
2017-06-15,112
2017-06-16,74
2017-06-17,2
2017-06-18,2
2017-06-19,38
2017-06-20,31
2017-06-21,32
2017-06-22,18
2017-06-23,14
2017-06-24,8
2017-06-25,10
2017-06-26,31
2017-06-27,51
2017-06-28,18
2017-06-29,38
2017-06-30,35
2017-07-01,2
2017-07-02,11
2017-07-03,15
2017-07-04,30
2017-07-05,180
2017-07-06,69
2017-07-07,72
2017-07-08,8
2017-07-09,3
2017-07-10,34
