day,stories
2017-01-01,404
2017-01-02,638
2017-01-03,906
2017-01-04,977
2017-01-05,1022
2017-01-06,881
2017-01-07,530
2017-01-08,552
2017-01-09,957
2017-01-10,1029
2017-01-11,956
2017-01-12,1051
2017-01-13,906
2017-01-14,513
2017-01-15,529
2017-01-16,847
2017-01-17,1070
2017-01-18,1026
2017-01-19,1005
2017-01-20,842
2017-01-21,503
2017-01-22,497
2017-01-23,855
2017-01-24,1033
2017-01-25,1134
2017-01-26,983
2017-01-27,973
2017-01-28,488
2017-01-29,485
2017-01-30,831
2017-01-31,1058
2017-02-01,999
2017-02-02,899
2017-02-03,821
2017-02-04,493
2017-02-05,490
2017-02-06,879
2017-02-07,1037
2017-02-08,1025
2017-02-09,1043
2017-02-10,872
2017-02-11,514
2017-02-12,505
2017-02-13,960
2017-02-14,1073
2017-02-15,996
2017-02-16,1011
2017-02-17,898
2017-02-18,555
2017-02-19,532
2017-02-20,849
2017-02-21,1072
2017-02-22,1029
2017-02-23,1082
2017-02-24,939
2017-02-25,560
2017-02-26,536
2017-02-27,950
2017-02-28,1042
2017-03-01,1088
2017-03-02,969
2017-03-03,909
2017-03-04,609
2017-03-05,592
2017-03-06,949
2017-03-07,999
2017-03-08,1060
2017-03-09,1119
2017-03-10,968
2017-03-11,547
2017-03-12,607
2017-03-13,1001
2017-03-14,1135
2017-03-15,1049
2017-03-16,1022
2017-03-17,865
2017-03-18,568
2017-03-19,548
2017-03-20,970
2017-03-21,1104
2017-03-22,981
2017-03-23,1052
2017-03-24,900
2017-03-25,452
2017-03-26,496
2017-03-27,1027
2017-03-28,1082
2017-03-29,1064
2017-03-30,998
2017-03-31,941
2017-04-01,542
2017-04-02,478
2017-04-03,926
2017-04-04,986
2017-04-05,938
2017-04-06,956
2017-04-07,850
2017-04-08,528
2017-04-09,517
2017-04-10,958
2017-04-11,971
2017-04-12,956
2017-04-13,953
2017-04-14,773
2017-04-15,505
2017-04-16,455
2017-04-17,776
2017-04-18,1059
2017-04-19,967
2017-04-20,1009
2017-04-21,865
2017-04-22,478
2017-04-23,478
2017-04-24,930
2017-04-25,1034
2017-04-26,943
2017-04-27,953
2017-04-28,871
2017-04-29,505
2017-04-30,452
2017-05-01,789
2017-05-02,931
2017-05-03,1008
2017-05-04,1001
2017-05-05,815
2017-05-06,446
2017-05-07,448
2017-05-08,883
2017-05-09,964
2017-05-10,960
2017-05-11,968
2017-05-12,856
2017-05-13,445
2017-05-14,453
2017-05-15,818
2017-05-16,980
2017-05-17,1004
2017-05-18,909
2017-05-19,934
2017-05-20,512
2017-05-21,475
2017-05-22,920
2017-05-23,986
2017-05-24,939
2017-05-25,928
2017-05-26,793
2017-05-27,473
2017-05-28,442
2017-05-29,654
2017-05-30,952
2017-05-31,985
2017-06-01,1012
2017-06-02,771
2017-06-03,484
2017-06-04,435
2017-06-05,878
2017-06-06,936
2017-06-07,898
2017-06-08,868
2017-06-09,846
2017-06-10,472
2017-06-11,457
2017-06-12,879
2017-06-13,904
2017-06-14,925
2017-06-15,929
2017-06-16,828
2017-06-17,482
2017-06-18,435
2017-06-19,963
2017-06-20,1006
2017-06-21,1076
2017-06-22,999
2017-06-23,822
2017-06-24,471
2017-06-25,473
2017-06-26,911
2017-06-27,961
2017-06-28,1015
2017-06-29,940
2017-06-30,820
2017-07-01,433
2017-07-02,459
2017-07-03,683
2017-07-04,595
2017-07-05,805
2017-07-06,835
2017-07-07,784
2017-07-08,486
2017-07-09,471
2017-07-10,844
2017-07-11,935
2017-07-12,1028
2017-07-13,987
2017-07-14,823
2017-07-15,528
2017-07-16,468
2017-07-17,917
2017-07-18,991
2017-07-19,952
2017-07-20,1031
2017-07-21,767
2017-07-22,437
2017-07-23,423
2017-07-24,889
2017-07-25,922
2017-07-26,930
2017-07-27,914
2017-07-28,840
2017-07-29,511
2017-07-30,477
2017-07-31,844
2017-08-01,883
2017-08-02,986
2017-08-03,909
2017-08-04,829
2017-08-05,474
2017-08-06,417
2017-08-07,841
2017-08-08,966
2017-08-09,836
2017-08-10,991
2017-08-11,834
2017-08-12,432
2017-08-13,394
2017-08-14,849
2017-08-15,881
2017-08-16,840
2017-08-17,880
2017-08-18,825
2017-08-19,489
2017-08-20,416
2017-08-21,780
2017-08-22,841
2017-08-23,890
2017-08-24,914
2017-08-25,816
2017-08-26,444
2017-08-27,506
2017-08-28,750
2017-08-29,912
2017-08-30,940
