day,observations
2017-01-01,9802
2017-01-02,8625
2017-01-03,7071
2017-01-04,7289
2017-01-05,7048
2017-01-06,6906
2017-01-07,7827
2017-01-08,7915
2017-01-09,5782
2017-01-10,5932
2017-01-11,6393
2017-01-12,6144
2017-01-13,6845
2017-01-14,9106
2017-01-15,9099
2017-01-16,6753
2017-01-17,5705
2017-01-18,5940
2017-01-19,5644
2017-01-20,5386
2017-01-21,8540
2017-01-22,7784
2017-01-23,4777
2017-01-24,6470
2017-01-25,6145
2017-01-26,5856
2017-01-27,6565
2017-01-28,9769
2017-01-29,8860
2017-01-30,6207
2017-01-31,5830
2017-02-01,6626
2017-02-02,5773
2017-02-03,6601
2017-02-04,10260
2017-02-05,8673
2017-02-06,5967
2017-02-07,6022
2017-02-08,6187
2017-02-09,6119
2017-02-10,7206
2017-02-11,11385
2017-02-12,10142
2017-02-13,6872
2017-02-14,7135
2017-02-15,7072
2017-02-16,7841
2017-02-17,7647
2017-02-18,12934
2017-02-19,11091
2017-02-20,7830
2017-02-21,8641
2017-02-22,9855
2017-02-23,10001
2017-02-24,11410
2017-02-25,12069
2017-02-26,11847
2017-02-27,9874
2017-02-28,7761
2017-03-01,8899
2017-03-02,7512
2017-03-03,8388
2017-03-04,13211
2017-03-05,11692
2017-03-06,7819
2017-03-07,8036
2017-03-08,9446
2017-03-09,9417
2017-03-10,10294
2017-03-11,15015
2017-03-12,13688
2017-03-13,9323
2017-03-14,10188
2017-03-15,10089
2017-03-16,10483
2017-03-17,11270
2017-03-18,16047
2017-03-19,16567
2017-03-20,11357
2017-03-21,10567
2017-03-22,10101
2017-03-23,11585
2017-03-24,11688
2017-03-25,22838
2017-03-26,16028
2017-03-27,11769
2017-03-28,12540
2017-03-29,13247
2017-03-30,12673
2017-03-31,12121
2017-04-01,24357
2017-04-02,18685
2017-04-03,12945
2017-04-04,12425
2017-04-05,14201
2017-04-06,11508
2017-04-07,13108
2017-04-08,22422
2017-04-09,22159
2017-04-10,14378
2017-04-11,15650
2017-04-12,15615
2017-04-13,16306
2017-04-14,48266
2017-04-15,54780
2017-04-16,38754
2017-04-17,34364
2017-04-18,34168
