day,kms
1963-11-27,288
1963-11-28,286
1963-11-29,293
1963-11-30,420
1963-12-01,348
1963-12-02,437
1963-12-03,463
1963-12-04,440
1963-12-05,433
1963-12-06,436
1963-12-07,426
1963-12-08,422
1963-12-09,434
1963-12-10,298
1963-12-11,304
1963-12-12,317
1963-12-13,328
1963-12-14,349
1963-12-15,421
1963-12-16,388
1963-12-17,304
1963-12-18,272
1963-12-19,258
1963-12-20,342
1963-12-21,337
1963-12-22,353
1963-12-23,367
1963-12-24,332
1963-12-25,328
1963-12-26,302
1963-12-27,245
1963-12-28,355
1963-12-29,391
1963-12-30,387
1963-12-31,347
1964-01-01,328
1964-01-02,505
1964-01-03,499
1964-01-04,492
1964-01-05,375
1964-01-06,370
1964-01-07,319
1964-01-08,279
1964-01-09,490
1964-01-10,510
1964-01-11,439
1964-01-12,318
1964-01-13,298
1964-01-14,248
1964-01-15,212
1964-01-16,314
1964-01-17,387
1964-01-18,374
1964-01-19,344
1964-01-20,325
1964-01-21,253
1964-01-22,238
1964-01-23,237
1964-01-25,352
1964-01-26,355
1964-01-27,328
1964-01-29,477
1964-01-30,481
1964-01-31,496
1964-02-02,368
1964-02-03,314
1964-02-04,298
1964-02-05,378
1964-02-06,470
1964-02-07,407
1964-02-08,342
1964-02-10,330
1964-02-11,314
1964-02-14,354
1964-02-15,330
1964-02-18,308
1964-02-19,302
1964-02-22,322
1964-07-21,478
1964-07-22,528
1964-07-23,476
1964-07-24,417
1964-07-26,452
1964-07-28,375
1964-07-29,483
1964-07-30,660
1964-08-01,468
1964-08-04,638
1964-08-05,677
1964-08-07,510
1964-08-08,365
1964-08-12,664
1964-08-13,574
1964-08-15,380
1964-08-16,435
1964-08-20,350
1964-08-21,346
1964-08-22,346
1964-08-23,344
1964-08-24,344
1964-08-25,345
1964-08-26,479
1964-08-27,403
1964-08-28,343
1964-08-29,404
1964-08-30,399
1964-08-31,472
1964-09-01,631
1964-09-02,586
1964-09-04,501
1964-09-06,510
1964-09-07,636
1964-09-09,618
1964-09-10,564
1964-09-12,403
1964-09-15,330
1964-09-16,334
1964-09-18,373
1964-09-19,372
1964-09-20,292
1964-09-23,520
1964-09-24,546
1964-09-25,545
1964-09-26,384
1964-09-27,356
1964-09-28,529
1964-09-29,414
1964-09-30,482
1964-10-01,447
1964-10-02,405
1964-10-03,390
1964-10-04,722
1964-10-05,711
1964-10-06,679
1964-10-07,543
1964-10-08,503
1964-10-09,490
1964-10-10,446
1964-10-11,386
1964-10-13,417
1964-10-14,416
1964-10-15,380
1964-10-16,505
1964-10-17,343
1964-10-18,424
1964-10-19,574
1964-10-20,608
1964-10-21,538
1964-10-22,494
1964-10-23,412
1964-10-24,368
1964-10-25,402
1964-10-26,463
1964-10-27,419
1964-10-28,382
1964-10-30,345
1964-10-31,324
1964-11-01,414
1964-11-04,436
1964-11-05,434
1964-11-07,398
1964-11-08,423
1964-11-09,504
1964-11-10,464
1964-11-11,472
1964-11-12,442
1964-11-13,406
1964-11-15,530
1964-11-16,520
1964-11-17,455
1964-11-18,519
1964-11-20,390
1964-11-21,348
1964-11-22,393
1964-11-25,335
1964-11-26,337
1964-11-28,554
1964-11-29,436
1964-11-30,488
1964-12-03,413
1964-12-04,401
1964-12-07,376
1964-12-08,412
1964-12-09,374
1964-12-11,345
1964-12-12,324
1964-12-13,354
1964-12-16,550
1964-12-17,556
1964-12-20,388
1964-12-21,356
1964-12-24,347
1964-12-25,338
1964-12-27,342
1964-12-28,344
1964-12-29,408
1965-01-01,347
1965-01-02,406
1965-01-03,420
1965-01-04,344
1965-01-06,344
1965-01-07,338
1965-01-08,424
1965-01-10,430
1965-01-11,373
1965-01-12,390
1965-01-15,483
1965-01-16,322
1965-01-17,294
1965-01-18,353
1965-01-19,353
1965-01-20,402
1965-01-21,370
1965-01-23,408
1965-01-24,350
1965-01-25,345
1965-01-27,435
1965-01-28,422
1965-01-29,412
1965-02-01,402
1965-02-02,321
1965-02-05,388
1965-02-06,391
1965-02-07,389
1965-02-09,475
1965-02-10,545
1965-02-11,383
1965-02-13,452
1965-02-14,525
1965-02-15,527
1965-02-17,377
1965-02-18,346
1965-02-19,348
1965-02-20,372
1965-02-22,418
1965-02-23,471
1965-02-24,478
1965-02-26,563
1965-02-27,564
1965-02-28,424
1965-03-02,453
1965-03-03,411
1965-03-04,262
1965-03-06,344
1965-03-07,348
1965-03-08,357
1965-03-10,328
1965-03-11,340
1965-03-12,335
1965-03-14,426
1965-03-15,484
1965-03-16,457
1965-03-17,429
1965-03-19,359
1965-03-20,373
1965-03-21,402
1965-03-23,585
1965-03-24,612
1965-03-25,610
1965-03-27,579
1965-03-28,506
1965-03-29,502
1965-03-31,396
1965-04-01,372
1965-04-02,349
1965-04-05,319
1965-04-06,349
1965-04-08,345
1965-04-09,346
1965-04-10,355
1965-04-11,344
1965-04-13,354
1965-04-14,345
1965-04-15,345
1965-04-17,367
1965-04-18,451
1965-04-19,566
1965-04-22,436
1965-04-23,450
1965-04-26,396
1965-04-27,465
1965-04-28,403
1965-04-30,374
1965-05-01,374
1965-05-02,367
1965-05-04,352
1965-05-05,461
1965-05-06,472
1965-05-08,448
1965-05-09,489
1965-05-10,501
1965-05-13,347
1965-05-14,349
1965-05-15,346
1965-05-17,544
1965-05-18,470
1965-05-19,400
1965-05-22,346
1965-05-23,343
1965-05-25,349
1965-05-26,348
1965-05-27,481
1965-05-28,413
1965-05-29,365
1965-05-30,369
1965-05-31,368
1965-06-01,384
1965-06-02,419
1965-06-03,437
1965-06-04,475
1965-06-08,413
1965-06-09,412
1965-06-11,405
1965-06-12,396
1965-06-13,340
1965-06-15,500
1965-06-16,584
1965-06-17,446
1965-06-19,344
1965-06-20,323
1965-06-21,342
1965-06-22,363
1965-06-24,348
1965-06-25,366
1965-06-28,372
1965-06-29,508
1965-06-30,538
1965-07-02,649
1965-07-03,482
1965-07-04,455
1965-07-06,487
1965-07-07,466
1965-07-08,472
1965-07-11,372
1965-07-12,379
1965-07-13,430
1965-07-15,349
1965-07-16,432
1965-07-17,421
1965-07-19,420
1965-07-20,477
1965-07-21,454
1965-07-26,366
1965-07-27,384
1965-07-29,590
1965-07-30,574
1965-07-31,474
1965-08-03,390
1965-08-04,397
1965-08-05,380
1965-08-06,389
1965-08-07,437
1965-08-08,459
1965-08-09,454
1965-08-10,446
1965-08-12,402
1965-08-13,370
1965-08-14,434
1965-08-15,372
1965-08-17,368
1965-08-18,384
1965-08-19,522
1965-08-20,551
