day,count
2017-01-01,3199615
2017-01-02,15419
2017-01-03,10823
2017-01-04,10731
2017-01-05,17986
2017-01-06,14248
2017-01-07,5525
2017-01-08,3301
2017-01-09,13557
2017-01-10,20699
2017-01-11,14280
2017-01-12,14311
2017-01-13,11066
2017-01-14,3516
2017-01-15,6967
2017-01-16,13738
2017-01-17,14702
2017-01-18,14565
2017-01-19,14548
2017-01-20,17026
2017-01-21,4836
2017-01-22,3068
2017-01-23,15439
2017-01-24,13825
2017-01-25,17360
2017-01-26,15432
2017-01-27,14150
2017-01-28,5545
2017-01-29,3303
2017-01-30,18532
2017-01-31,22719
2017-02-01,106782
2017-02-02,14760
2017-02-03,18503
2017-02-04,5111
2017-02-05,4210
2017-02-06,14167
2017-02-07,14360
2017-02-08,14317
2017-02-09,13132
2017-02-10,16703
2017-02-11,5007
2017-02-12,2668
2017-02-13,14923
2017-02-14,14545
2017-02-15,20794
2017-02-16,16568
2017-02-17,17782
2017-02-18,4127
2017-02-19,6130
2017-02-20,16063
2017-02-21,16727
2017-02-22,16554
2017-02-23,18979
2017-02-24,16522
2017-02-25,6307
2017-02-26,3571
2017-02-27,16204
2017-02-28,64460
2017-03-01,160578
2017-03-02,25813
2017-03-03,26588
2017-03-04,4969
2017-03-05,3866
2017-03-06,25518
2017-03-07,18333
2017-03-08,14545
2017-03-09,14025
2017-03-10,22837
2017-03-11,4315
2017-03-12,3580
2017-03-13,14602
2017-03-14,15335
2017-03-15,25321
2017-03-16,21217
2017-03-17,14805
2017-03-18,8145
2017-03-19,4072
2017-03-20,17876
2017-03-21,17697
2017-03-22,16182
2017-03-23,23013
2017-03-24,21487
2017-03-25,8783
2017-03-26,5321
2017-03-27,21050
2017-03-28,58238
2017-03-29,26041
2017-03-30,40883
2017-03-31,39256
2017-04-01,146110
2017-04-02,4205
2017-04-03,19963
2017-04-04,13993
2017-04-05,15229
2017-04-06,12987
2017-04-07,17138
2017-04-08,5906
2017-04-09,2866
2017-04-10,17961
2017-04-11,13673
2017-04-12,16539
2017-04-13,14104
2017-04-14,7912
2017-04-15,9044
2017-04-16,3064
2017-04-17,12342
2017-04-18,17159
2017-04-19,15864
2017-04-20,22157
2017-04-21,17667
2017-04-22,5228
2017-04-23,3821
2017-04-24,17375
2017-04-25,16854
2017-04-26,17189
2017-04-27,19283
2017-04-28,24237
2017-04-29,6953
2017-04-30,14140
2017-05-01,134353
2017-05-02,16549
2017-05-03,16283
2017-05-04,18375
2017-05-05,15028
2017-05-06,5083
2017-05-07,3260
2017-05-08,16011
2017-05-09,14981
2017-05-10,17438
2017-05-11,15443
2017-05-12,15655
2017-05-13,5051
2017-05-14,3832
2017-05-15,30497
2017-05-16,15975
2017-05-17,17383
2017-05-18,16866
2017-05-19,14790
2017-05-20,12050
2017-05-21,2914
2017-05-22,18440
2017-05-23,15633
2017-05-24,15372
2017-05-25,17905
2017-05-26,13829
2017-05-27,4240
2017-05-28,3969
2017-05-29,13240
2017-05-30,21550
2017-05-31,25791
2017-06-01,165490
2017-06-02,15773
2017-06-03,5558
2017-06-04,3605
2017-06-05,13479
2017-06-06,16009
2017-06-07,16435
2017-06-08,15645
2017-06-09,14642
2017-06-10,8643
2017-06-11,4306
2017-06-12,19572
2017-06-13,16850
2017-06-14,18094
2017-06-15,22784
2017-06-16,15191
2017-06-17,5170
2017-06-18,3839
2017-06-19,17708
2017-06-20,23593
2017-06-21,18182
2017-06-22,20314
2017-06-23,19775
2017-06-24,5813
2017-06-25,6843
2017-06-26,20180
2017-06-27,17534
2017-06-28,19006
2017-06-29,19550
2017-06-30,55253
2017-07-01,137304
2017-07-02,4887
2017-07-03,19968
2017-07-04,14724
2017-07-05,44019
2017-07-06,19363
2017-07-07,14283
2017-07-08,7579
2017-07-09,3449
2017-07-10,19755
2017-07-11,17054
2017-07-12,26321
2017-07-13,16512
2017-07-14,17629
2017-07-15,8925
2017-07-16,4384
2017-07-17,16990
2017-07-18,15177
2017-07-19,15304
2017-07-20,23963
2017-07-21,20305
2017-07-22,5012
2017-07-23,4832
2017-07-24,15300
2017-07-25,19122
2017-07-26,16355
2017-07-27,19539
2017-07-28,22905
2017-07-29,5544
2017-07-30,6655
2017-07-31,23302
2017-08-01,120486
2017-08-02,13880
2017-08-03,14822
2017-08-04,15620
2017-08-05,5955
2017-08-06,3192
2017-08-07,15399
2017-08-08,14416
2017-08-09,14898
2017-08-10,29690
2017-08-11,19522
2017-08-12,4809
2017-08-13,5084
2017-08-14,20788
2017-08-15,20787
2017-08-16,17059
2017-08-17,16345
2017-08-18,15940
2017-08-19,5462
2017-08-20,7995
2017-08-21,14164
2017-08-22,17378
2017-08-23,19558
2017-08-24,18391
2017-08-25,16919
2017-08-26,4671
2017-08-27,3192
2017-08-28,16937
2017-08-29,16428
2017-08-30,22384
2017-08-31,31745
2017-09-01,164249
2017-09-02,7983
2017-09-03,4650
2017-09-04,14568
2017-09-05,18257
2017-09-06,17274
2017-09-07,71148
2017-09-08,25984
2017-09-09,5465
2017-09-10,7558
