day,mw
2017-01-01,29423.4375
2017-01-02,32316.1875
2017-01-03,36370.770833333336
2017-01-04,37804.8125
2017-01-05,39645.770833333336
2017-01-06,38876.270833333336
2017-01-07,34944.541666666664
2017-01-08,33201.979166666664
2017-01-09,35849.0625
2017-01-10,36700.645833333336
2017-01-11,35229.125
2017-01-12,38463.125
2017-01-13,37698.270833333336
2017-01-14,35208.083333333336
2017-01-15,34155.666666666664
2017-01-16,38814.104166666664
2017-01-17,39147.166666666664
2017-01-18,39332.375
2017-01-19,39538.979166666664
2017-01-20,38834.958333333336
2017-01-21,36178.520833333336
2017-01-22,35923.4375
2017-01-23,40302.75
2017-01-24,38834.291666666664
2017-01-25,38657.666666666664
2017-01-26,40509.229166666664
2017-01-27,40244.291666666664
2017-01-28,34918.291666666664
2017-01-29,34823.791666666664
2017-01-30,38450.354166666664
2017-01-31,38164.75
2017-02-01,37091.145833333336
2017-02-02,34875.3125
2017-02-03,34808.645833333336
2017-02-04,32792.541666666664
2017-02-05,34088.229166666664
2017-02-06,38282.895833333336
2017-02-07,37776.666666666664
2017-02-08,39153.541666666664
2017-02-09,40145.083333333336
2017-02-10,40176.166666666664
2017-02-11,36046.708333333336
2017-02-12,33954.458333333336
2017-02-13,35834.041666666664
2017-02-14,37675.354166666664
2017-02-15,37184.458333333336
2017-02-16,35056.6875
2017-02-17,35693.729166666664
2017-02-18,30811.416666666668
2017-02-19,30195.104166666668
2017-02-20,32513
2017-02-21,33615.375
2017-02-22,33264.333333333336
2017-02-23,34225.291666666664
2017-02-24,34689.583333333336
2017-02-25,30650.6875
2017-02-26,29287.979166666668
2017-02-27,35688.645833333336
2017-02-28,36335.5625
2017-03-01,36434.791666666664
2017-03-02,34067.9375
2017-03-03,36343.833333333336
2017-03-04,31065.145833333332
2017-03-05,31019.395833333332
2017-03-06,35299.25
2017-03-07,35264.666666666664
2017-03-08,34049.541666666664
2017-03-09,32511.916666666668
2017-03-10,34355.416666666664
2017-03-11,30439.791666666668
2017-03-12,29625.708333333332
2017-03-13,32181.041666666668
2017-03-14,32062.708333333332
2017-03-15,32246.729166666668
2017-03-16,32453.0625
2017-03-17,31686.020833333332
2017-03-18,28879.145833333332
2017-03-19,27020.729166666668
2017-03-20,31861.354166666668
2017-03-21,31894.604166666668
2017-03-22,34987.875
2017-03-23,33539.229166666664
2017-03-24,32851
2017-03-25,28053.333333333332
2017-03-26,26711.869565217392
2017-03-27,32525.75
2017-03-28,33071.416666666664
2017-03-29,32685.833333333332
2017-03-30,30257.645833333332
2017-03-31,29110.854166666668
2017-04-01,27515.5
2017-04-02,26508.270833333332
2017-04-03,29534.770833333332
2017-04-04,31098.083333333332
2017-04-05,30223.8125
2017-04-06,30402.020833333332
2017-04-07,30109.3125
2017-04-08,25760.25
2017-04-09,23603.6875
2017-04-10,28691.3125
2017-04-11,28400.375
2017-04-12,28640.625
2017-04-13,30014.4375
