day,reports
2017-01-01,141
2017-01-02,1342
2017-01-03,3901
2017-01-04,3938
2017-01-05,3694
2017-01-06,4182
2017-01-07,289
2017-01-08,352
2017-01-09,3864
2017-01-10,3706
2017-01-11,3693
2017-01-12,4482
2017-01-13,3887
2017-01-14,232
2017-01-15,252
2017-01-16,3720
2017-01-17,4053
2017-01-18,4966
2017-01-19,3436
2017-01-20,3687
2017-01-21,330
2017-01-22,212
2017-01-23,5708
2017-01-24,6493
2017-01-25,4071
2017-01-26,4062
2017-01-27,3631
2017-01-28,107
2017-01-29,273
2017-01-30,4361
2017-01-31,6958
2017-02-01,5416
2017-02-02,4404
2017-02-03,3601
2017-02-04,485
2017-02-05,377
2017-02-06,4135
2017-02-07,4185
2017-02-08,9607
2017-02-09,8182
2017-02-10,6958
2017-02-11,2335
2017-02-12,2100
2017-02-13,4430
2017-02-14,4064
2017-02-15,4602
2017-02-16,5542
2017-02-17,4949
2017-02-18,2240
2017-02-19,265
2017-02-20,3437
2017-02-21,4047
2017-02-22,4061
2017-02-23,4223
2017-02-24,3906
2017-02-25,381
2017-02-26,387
2017-02-27,3846
2017-02-28,4317
2017-03-01,6291
2017-03-02,4633
2017-03-03,5345
2017-03-04,445
2017-03-05,203
2017-03-06,3523
2017-03-07,3756
2017-03-08,13544
2017-03-09,4839
2017-03-10,4002
2017-03-11,241
2017-03-12,326
2017-03-13,4246
2017-03-14,4748
2017-03-15,3801
2017-03-16,4327
2017-03-17,3562
2017-03-18,381
2017-03-19,161
2017-03-20,4612
2017-03-21,4077
2017-03-22,4317
2017-03-23,5252
2017-03-24,4796
2017-03-25,336
2017-03-26,212
2017-03-27,3248
2017-03-28,4779
2017-03-29,4831
2017-03-30,4156
2017-03-31,4678
2017-04-01,193
2017-04-02,261
2017-04-03,4232
2017-04-04,4657
2017-04-05,3954
2017-04-06,8196
2017-04-07,4532
2017-04-08,268
2017-04-09,263
2017-04-10,4088
2017-04-11,4629
2017-04-12,6930
2017-04-13,5192
2017-04-14,3454
2017-04-15,320
2017-04-16,171
2017-04-17,4475
2017-04-18,5470
2017-04-19,3848
2017-04-20,5242
2017-04-21,4470
2017-04-22,412
2017-04-23,428
2017-04-24,9746
2017-04-25,3665
2017-04-26,5260
2017-04-27,4604
2017-04-28,3973
2017-04-29,96
2017-04-30,151
2017-05-01,3377
2017-05-02,5167
2017-05-03,4478
2017-05-04,4351
2017-05-05,3805
2017-05-06,467
2017-05-07,330
2017-05-08,5234
2017-05-09,4635
2017-05-10,3889
2017-05-11,3599
2017-05-12,4815
2017-05-13,292
2017-05-14,285
2017-05-15,4169
2017-05-16,4588
2017-05-17,5326
2017-05-18,4292
2017-05-19,3641
2017-05-20,334
2017-05-21,362
2017-05-22,4124
2017-05-23,4456
2017-05-24,3869
2017-05-25,4271
2017-05-26,4296
2017-05-27,373
2017-05-28,305
2017-05-29,2377
2017-05-30,4026
2017-05-31,11143
2017-06-01,3985
2017-06-02,6041
2017-06-03,270
2017-06-04,198
2017-06-05,3420
2017-06-06,5907
2017-06-07,5715
2017-06-08,3608
2017-06-09,4592
2017-06-10,286
2017-06-11,228
2017-06-12,4712
2017-06-13,3787
2017-06-14,4867
2017-06-15,3494
2017-06-16,4431
2017-06-17,336
2017-06-18,192
2017-06-19,4399
2017-06-20,4726
2017-06-21,3922
2017-06-22,4438
2017-06-23,6885
2017-06-24,311
2017-06-25,247
2017-06-26,4038
2017-06-27,3789
2017-06-28,3540
2017-06-29,4558
2017-06-30,4716
2017-07-01,235
2017-07-02,163
2017-07-03,3648
2017-07-04,2619
2017-07-05,4345
2017-07-06,6226
2017-07-07,7603
2017-07-08,417
2017-07-09,392
2017-07-10,4819
2017-07-11,4169
2017-07-12,3840
2017-07-13,5434
2017-07-14,3727
2017-07-15,191
2017-07-16,244
2017-07-17,4107
2017-07-18,4418
2017-07-19,4491
2017-07-20,5048
2017-07-21,3895
2017-07-22,180
2017-07-23,320
2017-07-24,4795
2017-07-25,7414
2017-07-26,4574
2017-07-27,5386
2017-07-28,10106
2017-07-29,404
2017-07-30,263
2017-07-31,5862
2017-08-01,3971
2017-08-02,4476
2017-08-03,5187
2017-08-04,4513
2017-08-05,261
2017-08-06,274
2017-08-07,4143
2017-08-08,5200
2017-08-09,5254
2017-08-10,4647
2017-08-11,4456
2017-08-12,238
2017-08-13,362
2017-08-14,5753
2017-08-15,2504
2017-08-16,4867
2017-08-17,4415
2017-08-18,3964
2017-08-19,363
2017-08-20,254
2017-08-21,4470
2017-08-22,6025
2017-08-23,4327
2017-08-24,4469
2017-08-25,3928
2017-08-26,266
2017-08-27,704
2017-08-28,5280
2017-08-29,4156
2017-08-30,4342
2017-08-31,4052
2017-09-01,3535
2017-09-02,340
2017-09-03,297
2017-09-04,2736
2017-09-05,4208
2017-09-06,3821
2017-09-07,4878
2017-09-08,4571
2017-09-09,69
2017-09-10,337
2017-09-11,6057
2017-09-12,3881
2017-09-13,4151
2017-09-14,9582
2017-09-15,3964
2017-09-16,224
2017-09-17,261
2017-09-18,4377
2017-09-19,3962
2017-09-20,5350
2017-09-21,4060
2017-09-22,6382
2017-09-23,872
2017-09-24,661
2017-09-25,3466
2017-09-26,3951
2017-09-27,3799
2017-09-28,5839
2017-09-29,4182
2017-09-30,1484
2017-10-01,153
2017-10-02,2744
2017-10-03,4455
2017-10-04,7609
2017-10-05,8591
2017-10-06,7406
2017-10-07,341
2017-10-08,183
2017-10-09,6053
2017-10-10,6326
2017-10-11,3457
2017-10-12,5052
2017-10-13,7643
2017-10-14,635
2017-10-15,501
2017-10-16,5898
2017-10-17,3729
2017-10-18,5712
2017-10-19,3031
2017-10-20,3016
2017-10-21,290
2017-10-22,283
2017-10-23,5244
2017-10-24,4265
2017-10-25,4180
2017-10-26,7147
2017-10-27,4972
2017-10-28,424
2017-10-29,283
2017-10-30,3735
2017-10-31,3929
2017-11-01,3122
2017-11-02,4149
2017-11-03,3984
2017-11-04,211
2017-11-05,351
2017-11-06,4042
2017-11-07,4583
2017-11-08,3898
2017-11-09,4164
2017-11-10,4102
2017-11-11,412
2017-11-12,530
2017-11-13,3815
2017-11-14,3577
2017-11-15,4331
2017-11-16,4495
2017-11-17,4803
2017-11-18,330
2017-11-19,222
2017-11-20,3450
2017-11-21,5530
2017-11-22,4917
2017-11-23,3499
2017-11-24,3147
2017-11-25,399
2017-11-26,403
2017-11-27,3997
2017-11-28,4815
2017-11-29,4420
2017-11-30,3356
2017-12-01,3525
2017-12-02,500
2017-12-03,295
2017-12-04,3547
2017-12-05,4080
2017-12-06,3672
2017-12-07,3791
2017-12-08,4590
2017-12-09,380
2017-12-10,353
2017-12-11,8051
2017-12-12,4889
2017-12-13,4037
2017-12-14,5005
2017-12-15,4890
2017-12-16,535
2017-12-17,382
2017-12-18,4724
2017-12-19,7020
2017-12-20,4486
2017-12-21,5091
2017-12-22,4570
2017-12-23,957
2017-12-24,297
2017-12-25,941
2017-12-26,3275
2017-12-27,4398
2017-12-28,4183
2017-12-29,4123
2017-12-30,1083
2017-12-31,347
2018-01-01,616
2018-01-02,3641
2018-01-03,3880
2018-01-04,4523
2018-01-05,6810
2018-01-06,687
2018-01-07,417
2018-01-08,4192
2018-01-09,3890
2018-01-10,4440
2018-01-11,4466
2018-01-12,4283
2018-01-13,227
2018-01-14,243
2018-01-15,7151
2018-01-16,8317
2018-01-17,6105
2018-01-18,4100
2018-01-19,5099
2018-01-20,891
2018-01-21,682
2018-01-22,6119
2018-01-23,8095
2018-01-24,4547
2018-01-25,9511
2018-01-26,4826
2018-01-27,528
2018-01-28,420
2018-01-29,5527
2018-01-30,9509
2018-01-31,7169
2018-02-01,5657
2018-02-02,4271
2018-02-03,723
2018-02-04,519
2018-02-05,6017
2018-02-06,5986
2018-02-07,6121
2018-02-08,6261
2018-02-09,6681
2018-02-10,760
2018-02-11,722
2018-02-12,7082
2018-02-13,4535
2018-02-14,4635
2018-02-15,4872
2018-02-16,6447
2018-02-17,720
2018-02-18,480
2018-02-19,5373
2018-02-20,4784
2018-02-21,4301
2018-02-22,4549
2018-02-23,4518
2018-02-24,564
2018-02-25,391
2018-02-26,4176
2018-02-27,5093
2018-02-28,4602
2018-03-01,4872
2018-03-02,6115
2018-03-03,1045
2018-03-04,518
2018-03-05,4292
2018-03-06,4297
2018-03-07,4754
2018-03-08,4796
2018-03-09,5484
2018-03-10,1041
2018-03-11,1262
2018-03-12,5117
2018-03-13,4934
2018-03-14,5072
2018-03-15,6744
2018-03-16,5949
2018-03-17,701
2018-03-18,576
2018-03-19,5045
2018-03-20,4609
2018-03-21,4277
2018-03-22,4431
2018-03-23,5150
2018-03-24,860
2018-03-25,521
2018-03-26,4625
2018-03-27,4811
2018-03-28,4546
2018-03-29,4631
2018-03-30,5240
2018-03-31,551
2018-04-01,505
2018-04-02,4461
2018-04-03,5236
2018-04-04,6689
2018-04-05,6839
2018-04-06,5484
2018-04-07,582
2018-04-08,348
2018-04-09,6687
2018-04-10,5017
2018-04-11,5839
2018-04-12,4920
2018-04-13,5702
2018-04-14,610
2018-04-15,698
2018-04-16,5131
2018-04-17,5518
2018-04-18,4541
2018-04-19,4913
2018-04-20,5579
2018-04-21,838
2018-04-22,469
2018-04-23,9087
2018-04-24,5891
2018-04-25,9654
2018-04-26,5021
2018-04-27,5833
2018-04-28,863
2018-04-29,548
2018-04-30,6169
2018-05-01,4071
2018-05-02,4562
2018-05-03,5013
2018-05-04,5512
2018-05-05,497
2018-05-06,515
2018-05-07,6188
2018-05-08,10568
2018-05-09,4775
2018-05-10,5904
2018-05-11,7355
2018-05-12,1432
2018-05-13,1606
2018-05-14,5473
2018-05-15,4832
2018-05-16,5339
2018-05-17,6679
2018-05-18,5102
2018-05-19,528
2018-05-20,468
2018-05-21,4331
2018-05-22,4838
2018-05-23,4792
2018-05-24,5686
2018-05-25,4694
2018-05-26,560
2018-05-27,401
2018-05-28,2347
2018-05-29,5385
2018-05-30,5218
2018-05-31,6152
2018-06-01,4464
2018-06-02,516
2018-06-03,431
2018-06-04,5346
2018-06-05,5231
2018-06-06,4562
2018-06-07,4954
2018-06-08,5652
2018-06-09,558
2018-06-10,643
2018-06-11,4831
2018-06-12,4688
2018-06-13,5795
2018-06-14,4993
2018-06-15,4566
2018-06-16,421
2018-06-17,340
2018-06-18,7212
2018-06-19,7174
2018-06-20,7171
2018-06-21,6936
2018-06-22,8511
2018-06-23,424
2018-06-24,393
2018-06-25,7501
2018-06-26,7722
2018-06-27,7685
2018-06-28,7376
2018-06-29,6588
2018-06-30,740
2018-07-01,442
2018-07-02,4850
2018-07-03,5341
2018-07-04,2976
2018-07-05,4753
2018-07-06,4790
2018-07-07,499
2018-07-08,400
2018-07-09,4904
2018-07-10,4517
2018-07-11,4225
2018-07-12,5607
2018-07-13,7485
2018-07-14,543
2018-07-15,512
2018-07-16,5047
2018-07-17,4960
2018-07-18,6496
2018-07-19,5357
2018-07-20,9109
2018-07-21,467
2018-07-22,556
2018-07-23,8589
2018-07-24,4779
2018-07-25,7522
2018-07-26,5555
2018-07-27,4763
2018-07-28,657
2018-07-29,527
2018-07-30,6525
2018-07-31,6224
2018-08-01,4392
2018-08-02,4638
2018-08-03,5759
2018-08-04,800
2018-08-05,552
2018-08-06,4785
2018-08-07,5975
2018-08-08,4435
2018-08-09,4408
