day,points
2017-01-01,139
2017-01-02,237
2017-01-03,303
2017-01-04,332
2017-01-05,573
2017-01-06,1046
2017-01-07,2121
2017-01-08,476
2017-01-09,773
2017-01-10,1058
2017-01-11,1396
2017-01-12,923
2017-01-13,769
2017-01-14,471
2017-01-15,401
2017-01-16,454
2017-01-17,675
2017-01-18,719
2017-01-19,851
2017-01-20,863
2017-01-21,333
2017-01-22,844
2017-01-23,783
2017-01-24,768
2017-01-25,933
2017-01-26,1322
2017-01-27,1207
2017-01-28,1057
2017-01-29,1147
2017-01-30,2622
2017-01-31,4254
2017-02-01,2902
2017-02-02,1519
2017-02-03,1412
2017-02-04,1314
2017-02-05,654
2017-02-06,1375
2017-02-07,1326
2017-02-08,1352
2017-02-09,2063
2017-02-10,2597
2017-02-11,2403
2017-02-12,1022
2017-02-13,3238
2017-02-14,3030
2017-02-15,1828
2017-02-16,2412
2017-02-17,2175
2017-02-18,1789
2017-02-19,1226
2017-02-20,1786
2017-02-21,1020
2017-02-22,1709
2017-02-23,1100
2017-02-24,1493
2017-02-25,2912
2017-02-26,1153
2017-02-27,1258
2017-02-28,944
2017-03-01,1537
2017-03-02,2461
2017-03-03,3679
2017-03-04,3566
2017-03-05,820
2017-03-06,6995
2017-03-07,4358
2017-03-08,1619
2017-03-09,2677
2017-03-10,1302
2017-03-11,1234
2017-03-12,671
2017-03-13,687
2017-03-14,662
2017-03-15,1319
2017-03-16,1582
2017-03-17,2075
2017-03-18,3646
2017-03-19,2338
2017-03-20,5408
2017-03-21,3245
2017-03-22,2632
2017-03-23,5005
2017-03-24,2190
2017-03-25,1045
2017-03-26,721
2017-03-27,1245
2017-03-28,1502
2017-03-29,1868
2017-03-30,1472
2017-03-31,1488
2017-04-01,1515
2017-04-02,1094
2017-04-03,1525
2017-04-04,724
2017-04-05,1002
2017-04-06,4451
2017-04-07,5344
2017-04-08,2632
2017-04-09,1676
2017-04-10,3990
2017-04-11,8055
2017-04-12,2464
2017-04-13,2012
2017-04-14,1246
2017-04-15,1471
2017-04-16,1147
2017-04-17,1276
2017-04-18,1374
2017-04-19,884
2017-04-20,1483
2017-04-21,1143
2017-04-22,803
2017-04-23,838
2017-04-24,535
2017-04-25,795
2017-04-26,1451
2017-04-28,686
2017-04-29,817
2017-04-30,568
2017-05-01,828
2017-05-02,1332
2017-05-03,1046
2017-05-04,1253
2017-05-05,2413
2017-05-06,1735
2017-05-07,639
2017-05-08,1141
2017-05-09,1561
2017-05-10,1568
2017-05-11,1519
2017-05-12,736
2017-05-13,1026
2017-05-14,923
2017-05-15,1012
2017-05-16,1546
2017-05-17,697
2017-05-18,1086
2017-05-19,652
2017-05-20,1340
2017-05-21,380
2017-05-22,1999
2017-05-23,3586
2017-05-24,2190
2017-05-25,1525
2017-05-26,1981
2017-05-27,3462
2017-05-28,2204
2017-05-29,1855
2017-05-30,2630
2017-06-02,2223
2017-06-03,332
2017-06-04,1571
2017-06-05,1747
2017-06-06,2362
2017-06-07,2073
2017-06-08,1398
2017-06-09,1089
2017-06-10,2229
2017-06-11,1688
2017-06-12,968
2017-06-13,1367
2017-06-14,2401
2017-06-15,3822
2017-06-16,1473
2017-06-17,1411
2017-06-18,1228
2017-06-19,2407
2017-06-20,3077
2017-06-21,1863
2017-06-23,2426
2017-06-24,1431
2017-06-25,1008
2017-06-26,2325
2017-06-27,2160
2017-06-28,2484
2017-06-29,1347
2017-06-30,1077
2017-07-01,1383
2017-07-02,1708
2017-07-03,1519
2017-07-04,1612
2017-07-05,1565
2017-07-06,967
2017-07-07,2398
2017-07-08,1002
2017-07-09,2180
2017-07-10,2436
2017-07-11,4214
2017-07-12,158
2017-07-13,2676
2017-07-14,4045
2017-07-15,4709
2017-07-16,1855
2017-07-17,2272
2017-07-19,4445
2017-07-20,3715
2017-07-21,3804
2017-07-22,1461
2017-07-23,1310
2017-07-24,2060
2017-07-25,1929
2017-07-26,3412
2017-07-27,1856
2017-07-28,1006
2017-07-29,2779
2017-07-30,5276
2017-07-31,3968
2017-08-01,4394
2017-08-02,3553
2017-08-03,3087
2017-08-04,8941
2017-08-05,9820
2017-08-06,4105
2017-08-07,4542
2017-08-08,4729
2017-08-09,4178
2017-08-10,7743
2017-08-11,9476
2017-08-12,9808
2017-08-13,2853
2017-08-14,5498
2017-08-15,2508
2017-08-16,5599
2017-08-17,5712
2017-08-18,4125
2017-08-19,4207
2017-08-20,2491
2017-08-21,1820
2017-08-22,2373
2017-08-23,2282
2017-08-24,1902
2017-08-25,881
2017-08-26,2000
2017-08-27,1803
2017-08-28,4417
2017-08-29,5874
2017-08-30,4738
2017-08-31,4884
2017-09-01,7594
2017-09-02,5532
2017-09-03,13577
2017-09-04,5789
2017-09-05,4773
2017-09-06,2743
2017-09-07,3096
2017-09-08,4330
2017-09-09,1438
2017-09-10,2362
2017-09-11,3722
2017-09-12,5733
2017-09-13,3798
2017-09-14,1110
2017-09-15,1055
2017-09-16,793
2017-09-17,586
2017-09-18,655
2017-09-19,744
2017-09-20,710
2017-09-21,437
2017-09-22,560
2017-09-23,453
2017-09-24,285
2017-09-25,471
2017-09-26,676
2017-09-27,930
2017-09-28,1596
2017-09-29,875
2017-09-30,655
2017-10-01,571
2017-10-02,698
2017-10-03,1027
2017-10-04,977
2017-10-05,1583
2017-10-06,1637
2017-10-07,839
2017-10-08,1106
2017-10-09,4763
2017-10-10,2405
2017-10-11,1989
2017-10-12,1896
2017-10-13,2072
2017-10-14,1856
2017-10-15,1409
2017-10-16,1903
2017-10-17,2636
2017-10-18,2488
2017-10-19,2380
2017-10-20,2430
2017-10-21,1090
2017-10-22,725
2017-10-23,1308
2017-10-24,2103
2017-10-25,2259
2017-10-26,2675
2017-10-27,2071
2017-10-28,1101
2017-10-29,947
2017-10-30,2556
2017-10-31,2015
2017-11-01,1519
2017-11-02,895
2017-11-03,1378
2017-11-04,731
2017-11-05,776
2017-11-06,1807
2017-11-07,1150
2017-11-08,1271
2017-11-09,939
2017-11-10,1132
2017-11-11,785
2017-11-12,438
2017-11-13,1133
2017-11-14,1597
2017-11-15,1100
