day,requests
2020-01-01,5010
2020-01-02,7509
2020-01-03,6547
2020-01-04,5262
2020-01-05,5511
2020-01-06,7119
2020-01-07,6781
2020-01-08,6600
2020-01-09,7334
2020-01-10,6647
2020-01-11,5766
2020-01-12,5573
2020-01-13,6952
2020-01-14,6701
2020-01-15,6410
2020-01-16,6544
2020-01-17,7077
2020-01-18,5716
2020-01-19,4704
2020-01-20,5880
2020-01-21,7574
2020-01-22,6571
2020-01-23,6642
2020-01-24,6020
2020-01-25,5488
2020-01-26,5216
2020-01-27,6239
2020-01-28,6518
2020-01-29,6453
2020-01-30,6675
2020-01-31,6192
2020-02-01,5293
2020-02-02,4830
2020-02-03,6615
2020-02-04,6259
2020-02-05,6248
2020-02-06,5895
2020-02-07,6285
2020-02-08,5446
2020-02-09,5361
2020-02-10,6261
2020-02-11,6071
2020-02-12,6223
2020-02-13,5859
2020-02-14,5984
2020-02-15,6232
2020-02-16,5077
2020-02-17,5370
2020-02-18,6261
2020-02-19,6373
2020-02-20,6364
2020-02-21,6075
2020-02-22,5203
2020-02-23,5479
2020-02-24,6692
2020-02-25,6490
2020-02-26,6209
2020-02-27,6649
2020-02-28,6601
2020-02-29,5457
2020-03-01,5474
2020-03-02,6318
2020-03-03,6512
2020-03-04,6555
2020-03-05,7161
2020-03-06,6355
2020-03-07,5777
2020-03-08,5592
2020-03-09,7582
2020-03-10,7005
2020-03-11,7491
2020-03-12,6735
2020-03-13,6438
2020-03-14,5750
2020-03-15,5376
2020-03-16,6371
2020-03-17,6693
2020-03-18,6146
2020-03-19,5856
2020-03-20,5657
2020-03-21,5194
2020-03-22,4428
2020-03-23,4849
2020-03-24,5270
2020-03-25,5017
2020-03-26,4818
2020-03-27,5132
2020-03-28,3818
2020-03-29,3785
2020-03-30,5512
2020-03-31,5112
2020-04-01,5166
2020-04-02,5310
2020-04-03,4617
2020-04-04,4386
2020-04-05,4384
2020-04-06,5600
2020-04-07,5552
2020-04-08,5069
2020-04-09,5163
2020-04-10,5086
2020-04-11,4761
2020-04-12,5181
2020-04-13,5485
2020-04-14,5886
2020-04-15,5235
2020-04-16,5394
2020-04-17,5221
2020-04-18,4160
2020-04-19,5778
2020-04-20,5775
2020-04-21,5804
2020-04-22,5659
2020-04-23,5584
2020-04-24,5291
2020-04-25,6300
2020-04-26,4437
2020-04-27,5257
