day,studies
2017-01-01,0
2017-01-02,136
2017-01-03,0
2017-01-04,109
2017-01-05,129
2017-01-06,144
2017-01-07,0
2017-01-08,0
2017-01-09,111
2017-01-10,115
2017-01-11,117
2017-01-12,111
2017-01-13,133
2017-01-14,0
2017-01-15,0
2017-01-16,105
2017-01-17,0
2017-01-18,131
2017-01-19,96
2017-01-20,107
2017-01-21,0
2017-01-22,0
2017-01-23,142
2017-01-24,97
2017-01-25,109
2017-01-26,141
2017-01-27,134
2017-01-28,0
2017-01-29,0
2017-01-30,123
2017-01-31,133
2017-02-01,109
2017-02-02,117
2017-02-03,128
2017-02-04,0
2017-02-05,0
2017-02-06,78
2017-02-07,117
2017-02-08,121
2017-02-09,143
2017-02-10,94
2017-02-11,0
2017-02-12,0
2017-02-13,90
2017-02-14,120
2017-02-15,117
2017-02-16,104
2017-02-17,89
2017-02-18,0
2017-02-19,0
2017-02-20,94
2017-02-21,0
2017-02-22,0
2017-02-23,341
2017-02-24,105
2017-02-25,0
2017-02-26,0
2017-02-27,93
2017-02-28,108
2017-03-01,128
2017-03-02,0
2017-03-03,170
2017-03-04,0
2017-03-05,0
2017-03-06,54
2017-03-07,116
2017-03-08,124
2017-03-09,119
2017-03-10,96
2017-03-11,0
2017-03-12,0
2017-03-13,114
2017-03-14,73
2017-03-15,99
2017-03-16,62
2017-03-17,104
2017-03-18,0
2017-03-19,0
2017-03-20,86
2017-03-21,121
2017-03-22,138
2017-03-23,89
2017-03-24,125
2017-03-25,0
2017-03-26,0
2017-03-27,144
2017-03-28,120
2017-03-29,128
2017-03-30,100
2017-03-31,123
2017-04-01,0
2017-04-02,0
2017-04-03,0
2017-04-04,200
2017-04-05,109
2017-04-06,102
2017-04-07,111
2017-04-08,0
2017-04-09,0
2017-04-10,113
2017-04-11,168
2017-04-12,190
2017-04-13,170
2017-04-14,191
2017-04-15,0
2017-04-16,0
2017-04-17,89
2017-04-18,177
2017-04-19,112
2017-04-20,107
2017-04-21,152
2017-04-22,0
2017-04-23,0
2017-04-24,181
2017-04-25,163
2017-04-26,139
2017-04-27,131
2017-04-28,141
2017-04-29,0
2017-04-30,0
2017-05-01,115
2017-05-02,130
2017-05-03,138
2017-05-04,139
2017-05-05,128
2017-05-06,0
2017-05-07,0
2017-05-08,130
2017-05-09,144
2017-05-10,146
2017-05-11,137
2017-05-12,166
2017-05-13,0
2017-05-14,0
2017-05-15,141
2017-05-16,149
2017-05-17,162
2017-05-18,112
2017-05-19,148
2017-05-20,0
2017-05-21,0
2017-05-22,130
2017-05-23,111
2017-05-24,112
2017-05-25,93
2017-05-26,0
2017-05-27,0
2017-05-28,0
2017-05-29,0
2017-05-30,222
2017-05-31,138
2017-06-01,114
2017-06-02,97
2017-06-03,0
2017-06-04,0
2017-06-05,154
2017-06-06,127
2017-06-07,123
2017-06-08,116
2017-06-09,126
2017-06-10,0
2017-06-11,0
2017-06-12,114
2017-06-13,0
2017-06-14,209
2017-06-15,113
2017-06-16,129
2017-06-17,0
2017-06-18,0
2017-06-19,126
2017-06-20,105
2017-06-21,110
2017-06-22,122
2017-06-23,121
2017-06-24,0
