day,timestamp,bid_notional,ask_notional
2023-10-01,2023-10-01 23:59:31,58100654.58482000,68879324.56294000
2023-10-02,2023-10-02 23:59:32,80851706.88306000,70914641.95612000
2023-10-03,2023-10-03 23:59:31,66221399.09298000,78617586.19588000
2023-10-04,2023-10-04 23:59:32,80811538.37888000,138063307.14779000
2023-10-05,2023-10-05 23:59:31,152608583.00655000,116665743.47538000
2023-10-06,2023-10-06 23:59:31,99468879.90532000,66230769.60644000
2023-10-07,2023-10-07 23:59:32,110819391.13202000,110858369.11474000
2023-10-08,2023-10-08 23:59:31,80292897.81952000,105187619.68074000
2023-10-09,2023-10-09 23:59:31,95592904.00456000,92826712.26962000
2023-10-10,2023-10-10 23:59:31,196303385.80035000,77591208.33148000
2023-10-11,2023-10-11 23:59:31,72533320.20550000,132761889.82960000
2023-10-12,2023-10-12 23:59:32,95895136.82870000,131816547.68792000
2023-10-13,2023-10-13 23:59:32,91198707.37820000,81443169.17270000
2023-10-14,2023-10-14 23:59:32,134533930.75233000,133148920.91150000
2023-10-15,2023-10-15 23:59:31,91471850.76310000,99986016.43336000
2023-10-16,2023-10-16 23:59:32,60552319.19246000,64476923.66525000
2023-10-17,2023-10-17 23:59:30,101917070.36580000,86299723.74710000
2023-10-18,2023-10-18 23:59:30,91933746.30824000,93312629.24466000
2023-10-19,2023-10-19 23:59:31,90560773.32436000,109023622.51590000
2023-10-20,2023-10-20 23:59:32,71439644.96484000,80355840.93478000
2023-10-21,2023-10-21 23:59:31,80206853.41566000,63086786.85662000
2023-10-22,2023-10-22 23:59:32,64992426.30458000,87969432.58916000
2023-10-23,2023-10-23 23:59:31,50540249.27133000,59621060.19945000
2023-10-24,2023-10-24 23:59:31,54348680.02701000,55843061.54125000
2023-10-25,2023-10-25 23:59:30,70616695.46166000,64256672.68711000
2023-10-26,2023-10-26 23:59:31,77113183.01283000,81830182.88023000
2023-10-27,2023-10-27 23:59:31,68354804.82651000,100553972.30649000
2023-10-28,2023-10-28 23:59:30,111809363.38799000,84201559.77681000
2023-10-29,2023-10-29 23:59:31,103410106.45607000,78195079.50402000
2023-10-30,2023-10-30 23:59:31,70450201.69283000,90933183.72695000
2023-10-31,2023-10-31 23:59:31,66600357.80443000,117115938.99107000
